source_file	trial_id	trial_label	n_ae	total_prob	total_weighted_prob	ae_score	is_drug_arm
result_trial_data_NCT04809974_AE_mapped.tsv	trial_1	placebo	100	5.621217165142294	2.534268555277957	2.534268555277957	False
result_trial_data_NCT04809974_AE_mapped.tsv	trial_2	niagen	100	5.621217165142294	2.534268555277957	2.534268555277957	True
result_trial_data_NCT04809974_CF_ATP_AE_mapped.tsv	trial_1	placebo	100	2.459221847355361	1.09251448465511	1.09251448465511	False
result_trial_data_NCT04809974_CF_ATP_AE_mapped.tsv	trial_2	atp	100	2.459221847355361	1.09251448465511	1.09251448465511	True
result_trial_data_NCT04809974_CF_Abacavir_AE_mapped.tsv	trial_1	placebo	100	3.3535354593768667	1.3679072362021523	1.3679072362021523	False
result_trial_data_NCT04809974_CF_Abacavir_AE_mapped.tsv	trial_2	abacavir	100	3.3535354593768667	1.3679072362021523	1.3679072362021523	True
result_trial_data_NCT04809974_CF_Abemaciclib_AE_mapped.tsv	trial_1	placebo	100	7.473851386457677	2.8993787152226997	2.8993787152226997	False
result_trial_data_NCT04809974_CF_Abemaciclib_AE_mapped.tsv	trial_2	abemaciclib	100	7.473851386457677	2.8993787152226997	2.8993787152226997	True
result_trial_data_NCT04809974_CF_Abiraterone_AE_mapped.tsv	trial_1	placebo	100	7.011189099401231	2.8202226739842424	2.8202226739842424	False
result_trial_data_NCT04809974_CF_Abiraterone_AE_mapped.tsv	trial_2	abiraterone	100	7.011189099401231	2.8202226739842424	2.8202226739842424	True
result_trial_data_NCT04809974_CF_Acalabrutinib_AE_mapped.tsv	trial_1	placebo	100	10.283037591725584	3.9424864253960537	3.9424864253960537	False
result_trial_data_NCT04809974_CF_Acalabrutinib_AE_mapped.tsv	trial_2	acalabrutinib	100	10.283037591725584	3.9424864253960537	3.9424864253960537	True
result_trial_data_NCT04809974_CF_Acamprosate_AE_mapped.tsv	trial_1	placebo	100	3.000013526529069	1.2152740019373574	1.2152740019373574	False
result_trial_data_NCT04809974_CF_Acamprosate_AE_mapped.tsv	trial_2	acamprosate	100	3.000013526529069	1.2152740019373574	1.2152740019373574	True
result_trial_data_NCT04809974_CF_Acarbose_AE_mapped.tsv	trial_1	placebo	100	2.4975333111360625	0.9949412381974964	0.9949412381974964	False
result_trial_data_NCT04809974_CF_Acarbose_AE_mapped.tsv	trial_2	acarbose	100	2.4975333111360625	0.9949412381974964	0.9949412381974964	True
result_trial_data_NCT04809974_CF_Acebutolol_AE_mapped.tsv	trial_1	placebo	100	3.1908583221957048	1.254520369030068	1.254520369030068	False
result_trial_data_NCT04809974_CF_Acebutolol_AE_mapped.tsv	trial_2	acebutolol	100	3.1908583221957048	1.254520369030068	1.254520369030068	True
result_trial_data_NCT04809974_CF_Aceclofenac_AE_mapped.tsv	trial_1	placebo	100	4.023314394056793	1.6123421905096602	1.6123421905096602	False
result_trial_data_NCT04809974_CF_Aceclofenac_AE_mapped.tsv	trial_2	aceclofenac	100	4.023314394056793	1.6123421905096602	1.6123421905096602	True
result_trial_data_NCT04809974_CF_Acemetacin_AE_mapped.tsv	trial_1	placebo	100	5.02015090733766	2.047811385616658	2.047811385616658	False
result_trial_data_NCT04809974_CF_Acemetacin_AE_mapped.tsv	trial_2	acemetacin	100	5.02015090733766	2.047811385616658	2.047811385616658	True
