drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_ae_extreme,flag_safety_extreme,flag_efficacy_extreme,n_extremes
cobimetinib,Cobimetinib,11.828966634348031,30.828822791576385,11.828966634348031,100,0.590959,0.038696,0.590959,0.038696,11.828966634348031,0.7248514513551672,0.0475823891495797,0.0072115840071062,0.3104158530033201,0.590959,0.038696,30.828822791576385,unweighted_total_prob,0.3104158530033201,1.0,1576.0,37.0,282.0,-0.017347288719177234,-0.4403746634521484,20.026820693165067,True,False,True,2
carfilzomib,Carfilzomib,12.99991457350552,30.109437555074688,12.99991457350552,100,0.626776,0.04474,0.626776,0.04474,12.99991457350552,0.7943105481173496,0.0572355832963326,0.0,0.3406184525654728,0.626776,0.04474,30.109437555074688,unweighted_total_prob,0.3406184525654728,2.0,1605.0,43.0,457.0,0.018469711280822754,-0.4343306634521484,19.30743545666337,True,False,True,2
selumetinib,Selumetinib,12.028375454246996,28.922547638416287,12.028375454246996,100,0.703804,0.029458,0.703804,0.029458,12.028375454246996,0.94368920365515,0.0328278875731895,0.0058842782858237,0.3917836921485005,0.703804,0.029458,28.922547638416287,unweighted_total_prob,0.3917836921485005,4.0,1624.0,23.0,801.0,0.09549771128082274,-0.4496126634521484,18.12054554000497,True,False,True,2
lenvatinib,Lenvatinib,11.597041785717009,28.84546470642089,11.597041785717009,100,0.664937,0.029944,0.664937,0.029944,11.597041785717009,0.8683153109825156,0.0336041040449502,0.0088127399757426,0.3625303140061349,0.664937,0.029944,28.84546470642089,unweighted_total_prob,0.3625303140061349,5.0,1620.0,26.0,605.0,0.056630711280822754,-0.44912666345214836,18.043462608009573,True,False,True,2
ixazomib,Ixazomib,11.274278614670036,27.77513511478901,11.274278614670036,100,0.643714,0.037911,0.643714,0.037911,11.274278614670036,0.8271580278325086,0.0463286238608304,0.0111506531278529,0.3516247913029062,0.643714,0.037911,27.77513511478901,unweighted_total_prob,0.3516247913029062,6.0,1615.0,36.0,527.0,0.03540771128082276,-0.4411596634521484,16.97313301637769,True,False,True,2
pomalidomide,Pomalidomide,11.60298269987106,27.36438529193401,11.60298269987106,100,0.656593,0.053162,0.656593,0.053162,11.60298269987106,0.8521339807933972,0.0706868078337171,0.0087709264493564,0.370882500740717,0.656593,0.053162,27.36438529193401,unweighted_total_prob,0.370882500740717,7.0,1618.0,56.0,663.0,0.048286711280822736,-0.4259086634521484,16.56238319352269,True,False,True,2
binimetinib,Binimetinib,10.41676854342222,26.86544907093048,10.41676854342222,100,0.510286,0.044833,0.510286,0.044833,10.41676854342222,0.5684041298850397,0.0573841185471016,0.0180657431384706,0.2539284480005507,0.510286,0.044833,26.86544907093048,unweighted_total_prob,0.2539284480005507,9.0,1319.0,44.0,99.0,-0.09802028871917723,-0.43423766345214837,16.063446972519163,True,False,True,2
tazemetostat,Tazemetostat,10.414780616760252,25.217928171157837,10.414780616760252,100,0.514415,0.066098,0.514415,0.066098,10.414780616760252,0.5764114060536482,0.0913475820697189,0.0180830970589675,0.2707202146611404,0.514415,0.066098,25.217928171157837,unweighted_total_prob,0.2707202146611404,10.0,1349.0,77.0,139.0,-0.09389128871917729,-0.4129726634521484,14.415926072746519,True,False,True,2
encorafenib,Encorafenib,9.920516444370149,24.364431828260415,9.920516444370149,100,0.575734,0.061496,0.575734,0.061496,9.920516444370149,0.6953259537365996,0.0839974828865031,0.0226136906790507,0.3162521127850512,0.575734,0.061496,24.364431828260415,unweighted_total_prob,0.3162521127850512,12.0,1559.0,68.0,323.0,-0.03257228871917728,-0.4175746634521484,13.562429729849097,True,False,True,2
trametinib,Trametinib,10.512675331905482,24.31962457299232,10.512675331905482,100,0.732841,0.018722,0.732841,0.018722,10.512675331905482,1.0,0.015680850452154,0.0172363060183931,0.4097196013845403,0.732841,0.018722,24.31962457299232,unweighted_total_prob,0.4097196013845403,13.0,1625.0,5.0,943.0,0.12453471128082272,-0.46034866345214837,13.517622474581003,True,False,True,2
