nct_id,arm,arm_label,safety,efficacy,ae_code,ae_kg_id,ae_label,ae_prob
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,78,KG00099326,Hypertensive diseases,0.196696401
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,87,KG00098599,diarrhoea,0.174345955
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,9,KG00098432,Confusion NOS,0.173295066
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,173,KG00098172,Bronchopneumonia NOS,0.157085136
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,123,KG00099351,hypokalaemia,0.139292747
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,177,KG00099299,hyperglycaemia,0.122303985
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,49,KG00099902,nausea with vomiting,0.118257701
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,17,KG00097991,Asthenia NOS,0.115238868
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,68,KG00099901,nauseas,0.112785786
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,21,KG00098675,dyspnoea,0.111189581
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,30,KG00099500,Acute Kidney Failure,0.103188373
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,46,KG00099121,Headache NOS,0.101228625
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,76,KG00100450,"Respiratory insufficiency, NOS",0.099985585
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,77,KG00098450,Constipation NOS,0.098200217
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,37,KG00097696,"Cramps, Abdominal",0.098066442
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,189,KG00101580,Alanine aminotransferase increase,0.0957103
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,2,KG00100772,thrombocytopaenia,0.094177946
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,20,KG00098540,dehydration,0.091409132
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,151,KG00098274,"Infarction, Cerebral",0.088104747
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,228,KG00114657,Weight below normal,0.083673403
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,14,KG00097852,Anemia NOS,0.083031572
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,188,KG00101579,Aspartate aminotransferase increase,0.081509314
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,350,KG00106765,decreased platelet count,0.080063917
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,79,KG00100317,"Insomnia, Primary",0.078163862
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,29,KG00099354,hyponatraemia,0.071927778
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,64,KG00097734,"Acrodermatitis, NOS",0.071808174
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,114,KG00098933,fevers,0.071387872
NCT04809974_Real,trial_1,placebo,0.548587859,0.518739849,61,KG00099501,Chronic Kidney Failure,0.069119737
