Drug,Gene_Count,Genes,Gene_Sources,Drug_Sources
IMATINIB,210,"ABL1, ABL2, ACE, ACHE, ACTR2, ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AKT1, AR, ARAF, AURKA, BCR, BDKRB2, BLK, BMPR1A, BMPR1B, BMPR2, BMX, BTK, CA2, CALCR, CAMK1, CAMK2A, CASP1, CCKAR, CCNA1, CCNB1, CCNE1, CCR2, CCR4, CCR5, CDK2, CDK4, CDK6, CDK7, CDK9, CHEK2, CHRM1, CHRM2, CHRM4, CHRM5, CHUK, CNR1, CRK, CSF1R, CSK, CSNK1A1, CSNK1E, CSNK2A1, CSNK2A2, DCK, DCTPP1, DDR2, DMPK, DRD1, DRD3, DRD4, EGFR, EPHA1, EPHA2, EPHA3, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB4, ERBB2, ERBB3, ESR1, ESR2, FES, FGFR1, FGFR3, FLT3, FYN, GMNN, GNAI2, GRK5, GSK3A, GSK3B, HCK, HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HIPK2, HIPK3, HMOX2, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR6, HTT, IGF1R, IKBKB, IKBKE, ILK, INSR, INSRR, IRAK1, ITK, JAK2, LCK, LMNA, LYN, MAP2K1, MAP2K4, MAP2K5, MAP2K6, MAP3K10, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAPK1, MAPK11, MAPK14, MAPK3, MAPK6, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK5, MARK3, MC3R, MC5R, MELK, MERTK, MET, MKNK2, MMP1, MMP9, MUSK, MYLK, NEK1, NEK2, NOS1, NPM1, NR3C1, NTRK1, NTRK2, NTRK3, OPRK1, PAK1, PDGFRA, PDGFRB, PDPK1, PGR, PI4KB, PIP4K2C, PIP5K1A, PKN1, PLK1, PRKACA, PRKAR2A, PRKCA, PRKCB, PRKCD, PRKCE, PRKCQ, PRKCZ, PRKD1, PRKD2, PRKG1, PTAFR, PTK2, PTK2B, RAB27A, RAF1, RAN, RET, RIPK1, ROS1, RPS6KA1, RPS6KA3, RPS6KA5, RPS6KA6, SFN, SGK3, SIGMAR1, SLC22A1, SMAD3, SRC, STK11, TACR1, TACR2, TEK, TGFBR1, TGFBR2, TIE1, TNK2, TUBA1A, TYRO3, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb"
SIROLIMUS,206,"ABL1, ABL2, ACE, ACHE, ACTR2, ACVR1, ACVR1B, ACVR2B, ACVRL1, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AKT1, AR, ARAF, AURKA, AVPR2, BCR, BDKRB1, BDKRB2, BLK, BMPR1A, BMPR1B, BMPR2, BMX, BTK, CA2, CALCR, CAMK1, CASP1, CCKAR, CCNA1, CCNB1, CCND3, CCNE1, CCNT1, CCR2, CCR4, CCR5, CDK2, CDK4, CDK6, CDK7, CDK9, CHEK2, CHRM1, CHRM2, CHRM4, CHRM5, CHUK, CNR1, CRHR2, CSF1R, CSK, CSNK1A1, CSNK1E, CSNK2A1, CSNK2A2, CSNK2B, DCK, DCTPP1, DDR2, DMPK, DRD1, DRD3, DRD4, EDNRB, EGFR, EIF4E, EPHA1, EPHA2, EPHA3, EPHA5, EPHA7, EPHA8, EPHB1, EPHB2, EPHB4, ERBB2, ESR1, ESR2, FES, FGFR1, FGFR3, FKBP1A, FLT3, FYN, GABBR1, GCGR, GHSR, GMNN, GRK5, GRK6, GSK3A, GSK3B, HCK, HDAC6, HIPK2, HIPK3, HMOX2, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, IGF1R, IKBKB, IKBKE, ILK, INSR, INSRR, IRAK1, ITK, JAK2, LCK, LYN, MAP2K1, MAP2K5, MAP2K6, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAPK1, MAPK11, MAPK14, MAPK3, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK5, MARK3, MC3R, MC5R, MELK, MERTK, MET, MKNK2, MMP1, MMP9, MUSK, MYLK, NEK1, NEK2, NOS1, NR3C1, NTRK1, NTRK2, NTSR1, OPRK1, PAK1, PDGFRA, PDGFRB, PDPK1, PGR, PIK3R1, PIK3R2, PIK3R3, PIP4K2C, PKN1, PLK1, PRKACA, PRKAR2A, PRKCA, PRKCB, PRKCD, PRKCE, PRKCQ, PRKCZ, PRKD1, PRKD2, PRKG1, PTAFR, PTK2, PTK2B, RAB27A, RAF1, RAN, RET, ROS1, RPS6KA1, RPS6KA3, RPS6KA5, RPS6KA6, SGK3, SIGMAR1, SMAD3, SNCA, SRC, STK11, TACR1, TACR2, TEK, TGFBR1, TGFBR2, TNK2, TRIM24, TYRO3, VIPR1","CT, DCE_KEGG","ChEMBL, DrugCentral, GtoPdb"
PALBOCICLIB,201,"ABL1, ABL2, ACHE, ACTR2, ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, ADORA1, ADORA2A, ADRA2B, ADRA2C, ADRB2, AKT1, AR, ARAF, AURKA, AVPR2, BCR, BDKRB1, BDKRB2, BLK, BMPR1A, BMPR1B, BMPR2, BMX, BTK, CAMK1, CAMK2A, CCKAR, CCNA1, CCNB1, CCND3, CCNE1, CCNK, CCNL2, CCNT1, CDK2, CDK4, CDK6, CDK7, CDK9, CHEK2, CHRM1, CHRM2, CHRM4, CHRM5, CHUK, CNR1, CSF1R, CSK, CSNK1A1, CSNK1E, CSNK2A1, CSNK2A2, CSNK2B, DCK, DCTPP1, DDR2, DMPK, DRD1, DRD3, DRD4, DRD5, EDNRB, EGFR, EPHA1, EPHA2, EPHA3, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB4, ERBB2, ERBB3, ESR1, ESR2, FES, FGFR1, FGFR3, FLT3, FYN, GABBR1, GCGR, GHSR, GNAI2, GRK5, GRK6, GSK3A, GSK3B, HCK, HDAC6, HIPK2, HIPK3, HMOX2, HRH2, HTR1A, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, IGF1R, IKBKB, IKBKE, ILK, INSR, INSRR, IRAK1, ITK, JAK2, LCK, LYN, MAP2K1, MAP2K4, MAP2K5, MAP2K6, MAP3K10, MAP3K14, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAPK1, MAPK11, MAPK14, MAPK3, MAPK6, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK5, MARK3, MC3R, MED23, MELK, MERTK, MET, MKNK2, MNAT1, MUSK, MYLK, NEK1, NEK2, NR3C1, NTRK1, NTRK2, NTRK3, NTSR1, OPRK1, PAK1, PDGFRA, PDGFRB, PDPK1, PGR, PI4KB, PIP4K2C, PIP5K1A, PKN1, PLK1, PRKACA, PRKAR2A, PRKCA, PRKCB, PRKCD, PRKCE, PRKCQ, PRKD1, PRKD2, PRKG1, PTK2, PTK2B, RAB27A, RAF1, RAN, RB1, RET, RIPK1, ROS1, RPS6KA1, RPS6KA3, RPS6KA5, RPS6KA6, SGK3, SRC, STK11, TACR1, TACR2, TEK, TGFBR1, TGFBR2, TIE1, TNK2, TRIM24, TYRO3",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
SUNITINIB,194,"ABL1, ABL2, ACHE, ACTR2, ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, ADORA1, ADORA2A, ADRA2B, ADRA2C, ADRB2, AKT1, AR, ARAF, ATR, AURKA, AVPR2, BCR, BDKRB2, BLK, BMPR1A, BMPR1B, BMPR2, BMX, BRD7, BTK, CAMK1, CAMK2A, CCKAR, CDK2, CDK4, CDK6, CDK7, CDK9, CHEK2, CHRM1, CHRM2, CHRM4, CHRM5, CHUK, CNR1, CSF1R, CSK, CSNK1A1, CSNK1E, CSNK2A1, CSNK2A2, DCK, DCTPP1, DDR2, DMPK, DRD1, DRD3, DRD4, EGFR, EHMT2, EPHA1, EPHA2, EPHA3, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB4, ERBB2, ERBB3, ESR1, FES, FGFR1, FGFR3, FLT3, FYN, GHSR, GNAI2, GRK5, GRK6, GSK3A, GSK3B, HCK, HDAC6, HIPK2, HIPK3, HMOX2, HRH2, HTR1A, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, IGF1R, IKBKB, IKBKE, ILK, INSR, INSRR, IRAK1, ITK, JAK2, LCK, LMNA, LYN, MAP2K1, MAP2K4, MAP2K5, MAP2K6, MAP3K10, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAPK1, MAPK11, MAPK14, MAPK3, MAPK6, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK5, MARK3, MC3R, MELK, MEN1, MERTK, MET, MKNK2, MUSK, MYLK, NCSTN, NEK1, NEK2, NR1H2, NR3C1, NTRK1, NTRK2, NTRK3, OPRK1, PAK1, PDGFRA, PDGFRB, PDPK1, PGR, PI4KB, PIP4K2C, PIP5K1A, PKN1, PLK1, PPARA, PRKACA, PRKAR2A, PRKCA, PRKCB, PRKCD, PRKCE, PRKCQ, PRKCZ, PRKD1, PRKD2, PRKDC, PRKG1, PSEN1, PSEN2, PTK2, PTK2B, RAB27A, RAF1, RAN, RARA, RET, RIPK1, ROS1, RPS6KA1, RPS6KA3, RPS6KA5, RPS6KA6, SGK3, SLC22A1, SRC, STK11, TEK, TGFBR1, TGFBR2, TIE1, TNK2, TUBA1A, TYRO3",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb"
SORAFENIB,191,"ABL1, ABL2, ACTR2, ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, ADORA1, ADORA2A, ADRA2B, ADRA2C, ADRB2, AKT1, AR, ARAF, ATR, AURKA, AVPR2, BCR, BDKRB2, BLK, BMPR1A, BMPR1B, BMPR2, BMX, BTK, CA2, CAMK1, CAMK2A, CCKAR, CCNA1, CCNK, CCNT1, CDK2, CDK4, CDK6, CDK7, CDK9, CHEK2, CHRM1, CHRM2, CHUK, CNR1, CSF1R, CSK, CSNK1A1, CSNK1E, CSNK2A1, CSNK2A2, CSNK2B, DCK, DCTPP1, DDR2, DMPK, DRD1, DRD3, EGFR, EPHA1, EPHA2, EPHA3, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB4, ERBB2, ERBB3, FES, FGFR1, FGFR3, FLT3, FYN, GHSR, GMNN, GRK5, GRK6, GSK3A, GSK3B, HCK, HDAC1, HDAC6, HIPK2, HIPK3, HMOX2, HRH2, HTR1A, HTR1B, HTR1F, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, IGF1R, IKBKB, IKBKE, ILK, INSR, INSRR, IRAK1, ITK, JAK2, LCK, LYN, MAP2K1, MAP2K4, MAP2K5, MAP2K6, MAP3K10, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAPK1, MAPK11, MAPK14, MAPK3, MAPK6, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK5, MARK3, MC3R, MELK, MEN1, MERTK, MET, MKNK2, MUSK, MYLK, NEK1, NEK2, NR3C1, NTRK1, NTRK2, NTRK3, OPRK1, PAK1, PDGFRA, PDGFRB, PDPK1, PGR, PI4KB, PIP4K2C, PIP5K1A, PKN1, PLK1, PRKACA, PRKAR2A, PRKCA, PRKCB, PRKCD, PRKCE, PRKCQ, PRKCZ, PRKD1, PRKD2, PRKDC, PRKG1, PTK2, PTK2B, PTPN6, RAB27A, RAF1, RAN, RET, RIPK1, ROS1, RPS6KA1, RPS6KA3, RPS6KA5, RPS6KA6, SGK3, SMAD3, SNCA, SRC, STAT5A, STK11, TEK, TGFBR1, TGFBR2, TIE1, TNK2, TUBA1A, TYRO3",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
NILOTINIB,190,"ABL1, ABL2, ACTR2, ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, ADORA1, ADORA2A, ADRA2B, ADRA2C, ADRB2, AKT1, AR, ARAF, AURKA, AVPR2, BCR, BDKRB1, BDKRB2, BLK, BMPR1A, BMPR1B, BMPR2, BMX, BTK, CA2, CAMK1, CAMK2A, CCKAR, CDK2, CDK4, CDK6, CDK7, CDK9, CHEK2, CHRM1, CHRM2, CHRM4, CHRM5, CHUK, CNR1, CSF1R, CSK, CSNK1A1, CSNK1E, CSNK2A1, CSNK2A2, DCK, DCTPP1, DDR2, DMPK, DRD1, DRD3, DRD4, DRD5, EDNRB, EGFR, EPHA1, EPHA2, EPHA3, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB4, ERBB2, ERBB3, ESR1, ESR2, FES, FGFR1, FGFR3, FLT3, FYN, GABBR1, GCGR, GHSR, GRK6, GSK3A, GSK3B, HCK, HDAC6, HIPK2, HIPK3, HMOX2, HRH2, HTR1A, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, IGF1R, IKBKB, IKBKE, ILK, INSR, INSRR, IRAK1, ITK, JAK2, LCK, LDLR, LYN, MAP2K1, MAP2K4, MAP2K5, MAP2K6, MAP3K10, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAPK1, MAPK11, MAPK14, MAPK3, MAPK6, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK5, MARK3, MC3R, MELK, MERTK, MET, MKNK2, MUSK, MYLK, NEK1, NEK2, NR3C1, NTRK1, NTRK2, NTRK3, NTSR1, OPRK1, PAK1, PDGFRA, PDGFRB, PDPK1, PGR, PI4KB, PIP4K2C, PIP5K1A, PKN1, PLK1, PRKACA, PRKAR2A, PRKCA, PRKCB, PRKCD, PRKCE, PRKCQ, PRKCZ, PRKD1, PRKD2, PRKG1, PTK2, PTK2B, RAB27A, RAC1, RAF1, RAN, RET, RIPK1, ROS1, RPS6KA1, RPS6KA3, RPS6KA5, RPS6KA6, SGK3, SRC, STK11, TACR1, TACR2, TEK, TGFBR1, TGFBR2, TIE1, TNK2, TRIM24, TYRO3",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb"
BOSUTINIB,189,"ABL1, ABL2, ACHE, ACTR2, ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, ADORA1, ADORA2A, ADRA2B, ADRA2C, ADRB2, AKT1, AR, ARAF, ATR, AURKA, AVPR2, BCR, BDKRB1, BDKRB2, BLK, BMPR1A, BMPR1B, BMPR2, BMX, BTK, CAMK1, CAMK2A, CCKAR, CCNK, CCNT1, CDK2, CDK4, CDK6, CDK7, CDK9, CHEK2, CHRM1, CHRM2, CHRM5, CHUK, CNR1, CRHR2, CSF1R, CSK, CSNK1A1, CSNK1E, CSNK2A1, CSNK2A2, DCK, DCTPP1, DDR2, DMPK, DRD1, DRD3, DRD4, EDNRB, EGFR, EPHA1, EPHA2, EPHA3, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB4, ERBB2, ERBB3, ESR1, ESR2, FES, FGFR1, FGFR3, FLT3, FYN, GABBR1, GCGR, GHSR, GRK6, GSK3A, GSK3B, HCK, HDAC6, HIPK2, HIPK3, HMOX2, HRH2, HTR1A, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, IGF1R, IKBKB, IKBKE, ILK, INSR, INSRR, IRAK1, ITK, JAK2, LCK, LYN, MAP2K1, MAP2K4, MAP2K5, MAP2K6, MAP3K10, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAPK1, MAPK11, MAPK14, MAPK3, MAPK6, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK5, MARK3, MC3R, MELK, MERTK, MET, MKNK2, MUSK, MYLK, NEK1, NEK2, NPM1, NR3C1, NTRK1, NTRK2, NTRK3, NTSR1, OPRK1, PAK1, PDGFRA, PDGFRB, PDPK1, PGR, PI4KB, PIP4K2C, PIP5K1A, PKN1, PLK1, PRKACA, PRKAR2A, PRKCA, PRKCB, PRKCD, PRKCE, PRKCQ, PRKCZ, PRKD1, PRKD2, PRKG1, PTK2, PTK2B, RAB27A, RAF1, RAN, RET, RIPK1, ROS1, RPS6KA1, RPS6KA3, RPS6KA5, RPS6KA6, SGK3, SRC, STK11, TACR1, TEK, TGFBR1, TGFBR2, TIE1, TNK2, TYRO3",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
GEFITINIB,189,"ABL1, ABL2, ACTR2, ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, ADORA1, ADORA2A, ADRA2B, ADRA2C, ADRB2, AKT1, AR, ARAF, AURKA, AVPR2, BACE1, BCR, BDKRB2, BLK, BMPR1A, BMPR1B, BMPR2, BMX, BTK, CAMK1, CAMK2A, CCKAR, CDK2, CDK4, CDK6, CDK7, CDK9, CHEK2, CHRM1, CHRM2, CHUK, CNR1, CSF1R, CSK, CSNK1A1, CSNK1E, CSNK2A1, CSNK2A2, DCK, DCTPP1, DDR2, DMPK, DRD1, DRD3, EGFR, EPHA1, EPHA2, EPHA3, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB4, ERBB2, ERBB3, ESR1, FES, FGFR1, FGFR3, FLT3, FYN, GHSR, GMNN, GNAI2, GRK5, GRK6, GSK3A, GSK3B, HCK, HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HIPK2, HIPK3, HMOX2, HRH2, HTR1A, HTR2B, HTR2C, HTR3A, HTT, IGF1R, IKBKB, IKBKE, ILK, INSR, INSRR, IRAK1, ITK, JAK2, LCK, LMNA, LYN, MAP2K1, MAP2K4, MAP2K5, MAP2K6, MAP3K10, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAPK1, MAPK11, MAPK14, MAPK3, MAPK6, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK5, MARK3, MC3R, MELK, MERTK, MET, MKNK2, MUSK, MYLK, NEK1, NEK2, NR3C1, NTRK1, NTRK2, NTRK3, OPRK1, PAK1, PARP1, PDGFRA, PDGFRB, PDPK1, PGR, PI4KB, PIP4K2C, PIP5K1A, PKN1, PLK1, PRKACA, PRKAR2A, PRKCA, PRKCB, PRKCD, PRKCE, PRKCQ, PRKCZ, PRKD1, PRKD2, PRKDC, PRKG1, PTK2, PTK2B, RAB27A, RAF1, RAN, RELA, RET, RIPK1, ROS1, RPS6KA1, RPS6KA3, RPS6KA5, RPS6KA6, SGK3, SRC, STK11, TEK, TGFBR1, TGFBR2, TIE1, TNK2, TRIM24, TUBA1A, TYRO3, VDR, VHL",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
ERLOTINIB,186,"ABL1, ABL2, ACHE, ACTR2, ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, ADORA1, ADORA2A, ADRA2B, ADRA2C, ADRB2, AKT1, AR, ARAF, ATR, AURKA, BCR, BLK, BMPR1A, BMPR1B, BMPR2, BMX, BTK, CAMK1, CAMK2A, CASP3, CCKAR, CDK2, CDK4, CDK6, CDK7, CDK9, CHEK2, CHRM1, CHRM2, CHUK, CNR1, CSF1R, CSK, CSNK1A1, CSNK1E, CSNK2A1, CSNK2A2, DCK, DCTPP1, DDR2, DMPK, DRD1, DRD3, EGFR, EHMT2, EPHA1, EPHA2, EPHA3, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB4, ERBB2, ERBB3, ESR1, FES, FGFR1, FGFR3, FLT3, FYN, GABRG2, GHSR, GMNN, GNAI2, GRK5, GRK6, GSK3A, GSK3B, HCK, HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HIPK2, HIPK3, HMOX2, HTR1A, HTR2B, HTR2C, HTR3A, HTT, IGF1R, IKBKB, IKBKE, ILK, INSR, INSRR, IRAK1, ITK, JAK2, LCK, LMNA, LYN, MAP2K1, MAP2K4, MAP2K5, MAP2K6, MAP3K10, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAPK1, MAPK11, MAPK14, MAPK3, MAPK6, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK5, MARK3, MC3R, MELK, MERTK, MET, MKNK2, MUSK, MYLK, NEK1, NEK2, NR3C1, NTRK1, NTRK2, NTRK3, PAK1, PDGFRA, PDGFRB, PDPK1, PGR, PI4KB, PIP4K2C, PIP5K1A, PKN1, PLK1, PPARG, PRKACA, PRKAR2A, PRKCA, PRKCB, PRKCD, PRKCE, PRKCQ, PRKCZ, PRKD1, PRKD2, PRKG1, PTK2, PTK2B, RAB27A, RAF1, RAN, RET, RIPK1, ROS1, RPS6KA1, RPS6KA3, RPS6KA5, RPS6KA6, SGK3, SLC22A1, SRC, STK11, TEK, TGFBR1, TGFBR2, TIE1, TNK2, TRIM24, TUBA1A, TYRO3",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
VANDETANIB,185,"ABL1, ABL2, ACTR2, ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, ADORA1, ADORA2A, ADRA2B, ADRA2C, ADRB2, AKT1, AR, ARAF, ATR, AURKA, AVPR2, BCR, BDKRB2, BLK, BMPR1A, BMPR1B, BMPR2, BMX, BTK, CAMK1, CAMK2A, CCKAR, CDK2, CDK4, CDK6, CDK7, CDK9, CHEK2, CHRM1, CHRM2, CHUK, CNR1, CSF1R, CSK, CSNK1A1, CSNK1E, CSNK2A1, CSNK2A2, DCK, DCTPP1, DDR2, DMPK, DRD1, DRD3, EGFR, EHMT2, EPHA1, EPHA2, EPHA3, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB4, ERBB2, ERBB3, ESR1, FES, FGFR1, FGFR3, FLT3, FYN, GABRG2, GHSR, GMNN, GNAI2, GRK5, GRK6, GSK3A, GSK3B, HCK, HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HIPK2, HIPK3, HMOX2, HRH2, HTR1A, HTR2B, HTR2C, HTR3A, HTT, IGF1R, IKBKB, IKBKE, ILK, INSR, INSRR, IRAK1, ITK, JAK2, LCK, LYN, MAP2K1, MAP2K4, MAP2K5, MAP2K6, MAP3K10, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAPK1, MAPK11, MAPK14, MAPK3, MAPK6, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK5, MARK3, MC3R, MELK, MERTK, MET, MKNK2, MUSK, MYLK, NEK1, NEK2, NR3C1, NTRK1, NTRK2, NTRK3, OPRK1, PAK1, PDGFRA, PDGFRB, PDPK1, PGR, PI4KB, PIP4K2C, PIP5K1A, PKN1, PLK1, PPARG, PRKACA, PRKAR2A, PRKCA, PRKCB, PRKCD, PRKCE, PRKCQ, PRKCZ, PRKD1, PRKD2, PRKG1, PTK2, PTK2B, RAB27A, RAF1, RAN, RET, RIPK1, ROS1, RPS6KA1, RPS6KA3, RPS6KA5, RPS6KA6, SGK3, SRC, STK11, TEK, TGFBR1, TGFBR2, TIE1, TNK2, TUBA1A, TYRO3",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
