rank,drug,file,safety_drug
1,Trametinib,result_trial_data_NCT04809974_CF_Trametinib.json,0.682068
2,Ceritinib,result_trial_data_NCT04809974_CF_Ceritinib.json,0.613098
3,Lenvatinib,result_trial_data_NCT04809974_CF_Lenvatinib.json,0.597835
4,Pomalidomide,result_trial_data_NCT04809974_CF_Pomalidomide.json,0.587253
5,Selumetinib,result_trial_data_NCT04809974_CF_Selumetinib.json,0.567685
6,Regorafenib,result_trial_data_NCT04809974_CF_Regorafenib.json,0.544711
7,Idelalisib,result_trial_data_NCT04809974_CF_Idelalisib.json,0.543565
8,Leniolisib,result_trial_data_NCT04809974_CF_Leniolisib.json,0.534234
9,Tolvaptan,result_trial_data_NCT04809974_CF_Tolvaptan.json,0.532216
10,Ruxolitinib,result_trial_data_NCT04809974_CF_Ruxolitinib.json,0.528993
11,Carfilzomib,result_trial_data_NCT04809974_CF_Carfilzomib.json,0.524947
12,Dabrafenib,result_trial_data_NCT04809974_CF_Dabrafenib.json,0.522556
13,Pentostatin,result_trial_data_NCT04809974_CF_Pentostatin.json,0.519701
14,Dasatinib,result_trial_data_NCT04809974_CF_Dasatinib.json,0.517818
15,Ribociclib,result_trial_data_NCT04809974_CF_Ribociclib.json,0.513849
16,Anagrelide,result_trial_data_NCT04809974_CF_Anagrelide.json,0.512188
17,Cobimetinib,result_trial_data_NCT04809974_CF_Cobimetinib.json,0.509022
18,Abiraterone,result_trial_data_NCT04809974_CF_Abiraterone.json,0.508875
19,Nilotinib,result_trial_data_NCT04809974_CF_Nilotinib.json,0.497076
20,Ixazomib,result_trial_data_NCT04809974_CF_Ixazomib.json,0.496940
21,Alectinib,result_trial_data_NCT04809974_CF_Alectinib.json,0.484971
22,Ledipasvir,result_trial_data_NCT04809974_CF_Ledipasvir.json,0.483771
23,Ibrutinib,result_trial_data_NCT04809974_CF_Ibrutinib.json,0.481256
24,Cabozantinib,result_trial_data_NCT04809974_CF_Cabozantinib.json,0.478943
25,Pexidartinib,result_trial_data_NCT04809974_CF_Pexidartinib.json,0.474714
26,Alpelisib,result_trial_data_NCT04809974_CF_Alpelisib.json,0.471663
27,Imidapril,result_trial_data_NCT04809974_CF_Imidapril.json,0.469557
28,Methazolamide,result_trial_data_NCT04809974_CF_Methazolamide.json,0.469260
29,Ribavirin,result_trial_data_NCT04809974_CF_Ribavirin.json,0.463791
30,Ursodeoxycholic_acid,result_trial_data_NCT04809974_CF_Ursodeoxycholic_acid.json,0.463159
31,Dimethyl_fumarate,result_trial_data_NCT04809974_CF_Dimethyl_fumarate.json,0.462206
32,Rolapitant,result_trial_data_NCT04809974_CF_Rolapitant.json,0.459617
33,Diclofenamide,result_trial_data_NCT04809974_CF_Diclofenamide.json,0.457371
34,Degarelix,result_trial_data_NCT04809974_CF_Degarelix.json,0.456688
35,Meropenem,result_trial_data_NCT04809974_CF_Meropenem.json,0.451908
36,Imatinib,result_trial_data_NCT04809974_CF_Imatinib.json,0.451372
37,Momelotinib,result_trial_data_NCT04809974_CF_Momelotinib.json,0.450843
38,Encorafenib,result_trial_data_NCT04809974_CF_Encorafenib.json,0.449799
39,Ivosidenib,result_trial_data_NCT04809974_CF_Ivosidenib.json,0.448611
40,Selinexor,result_trial_data_NCT04809974_CF_Selinexor.json,0.447796
41,Testosterone_propion,result_trial_data_NCT04809974_CF_Testosterone_propion.json,0.447326
42,Obeticholic_acid,result_trial_data_NCT04809974_CF_Obeticholic_acid.json,0.446663
43,Enzalutamide,result_trial_data_NCT04809974_CF_Enzalutamide.json,0.445884
44,Tafenoquine,result_trial_data_NCT04809974_CF_Tafenoquine.json,0.443060
45,Daclatasvir,result_trial_data_NCT04809974_CF_Daclatasvir.json,0.442350
46,Esketamine,result_trial_data_NCT04809974_CF_Esketamine.json,0.442197
47,Amlexanox,result_trial_data_NCT04809974_CF_Amlexanox.json,0.442120
48,Omacetaxine_mepesucc,result_trial_data_NCT04809974_CF_Omacetaxine_mepesucc.json,0.441690
49,Romidepsin,result_trial_data_NCT04809974_CF_Romidepsin.json,0.440057
