rank_by_AE_burden,cohort_id,drug,file,ae_score_sum_probability,n_AE_events,trial_id_used
1,NCT04809974,Chlorhexidine,result_trial_data_NCT04809974_CF_Chlorhexidine_AE_mapped.tsv,1.015897,100,trial_2
2,NCT04809974,Cetylpyridinium,result_trial_data_NCT04809974_CF_Cetylpyridinium_AE_mapped.tsv,1.037758,100,trial_2
3,NCT04809974,Articaine,result_trial_data_NCT04809974_CF_Articaine_AE_mapped.tsv,1.077362,100,trial_2
4,NCT04809974,Benzocaine,result_trial_data_NCT04809974_CF_Benzocaine_AE_mapped.tsv,1.294916,100,trial_2
5,NCT04809974,Glycerin,result_trial_data_NCT04809974_CF_Glycerin_AE_mapped.tsv,1.310743,100,trial_2
6,NCT04809974,Rocuronium,result_trial_data_NCT04809974_CF_Rocuronium_AE_mapped.tsv,1.343040,100,trial_2
7,NCT04809974,Povidone,result_trial_data_NCT04809974_CF_Povidone_AE_mapped.tsv,1.415288,100,trial_2
8,NCT04809974,Lactic_acid,result_trial_data_NCT04809974_CF_Lactic_acid_AE_mapped.tsv,1.437760,100,trial_2
9,NCT04809974,Mupirocin,result_trial_data_NCT04809974_CF_Mupirocin_AE_mapped.tsv,1.473146,100,trial_2
10,NCT04809974,Loteprednol_etabonat,result_trial_data_NCT04809974_CF_Loteprednol_etabonat_AE_mapped.tsv,1.474469,100,trial_2
11,NCT04809974,Ethyl_chloride,result_trial_data_NCT04809974_CF_Ethyl_chloride_AE_mapped.tsv,1.485984,100,trial_2
12,NCT04809974,Polyvinyl_alcohol,result_trial_data_NCT04809974_CF_Polyvinyl_alcohol_AE_mapped.tsv,1.502302,100,trial_2
13,NCT04809974,Stannous_fluoride,result_trial_data_NCT04809974_CF_Stannous_fluoride_AE_mapped.tsv,1.540996,100,trial_2
14,NCT04809974,Iohexol,result_trial_data_NCT04809974_CF_Iohexol_AE_mapped.tsv,1.582616,100,trial_2
15,NCT04809974,Propofol,result_trial_data_NCT04809974_CF_Propofol_AE_mapped.tsv,1.584696,100,trial_2
16,NCT04809974,Prilocaine,result_trial_data_NCT04809974_CF_Prilocaine_AE_mapped.tsv,1.594301,100,trial_2
17,NCT04809974,Lidocaine,result_trial_data_NCT04809974_CF_Lidocaine_AE_mapped.tsv,1.665939,100,trial_2
18,NCT04809974,Succinylcholine,result_trial_data_NCT04809974_CF_Succinylcholine_AE_mapped.tsv,1.669079,100,trial_2
19,NCT04809974,Hexetidine,result_trial_data_NCT04809974_CF_Hexetidine_AE_mapped.tsv,1.684199,100,trial_2
20,NCT04809974,Chloroprocaine,result_trial_data_NCT04809974_CF_Chloroprocaine_AE_mapped.tsv,1.704888,100,trial_2
21,NCT04809974,Epinephrine,result_trial_data_NCT04809974_CF_Epinephrine_AE_mapped.tsv,1.734851,100,trial_2
22,NCT04809974,Triclosan,result_trial_data_NCT04809974_CF_Triclosan_AE_mapped.tsv,1.746726,100,trial_2
23,NCT04809974,Proparacaine,result_trial_data_NCT04809974_CF_Proparacaine_AE_mapped.tsv,1.753949,100,trial_2
24,NCT04809974,Salbutamol,result_trial_data_NCT04809974_CF_Salbutamol_AE_mapped.tsv,1.758028,100,trial_2
25,NCT04809974,Neostigmine,result_trial_data_NCT04809974_CF_Neostigmine_AE_mapped.tsv,1.770625,100,trial_2
26,NCT04809974,Atropine,result_trial_data_NCT04809974_CF_Atropine_AE_mapped.tsv,1.771159,100,trial_2
27,NCT04809974,Thymol,result_trial_data_NCT04809974_CF_Thymol_AE_mapped.tsv,1.774913,100,trial_2
28,NCT04809974,Diatrizoate,result_trial_data_NCT04809974_CF_Diatrizoate_AE_mapped.tsv,1.776303,100,trial_2
29,NCT04809974,Esmolol,result_trial_data_NCT04809974_CF_Esmolol_AE_mapped.tsv,1.786713,100,trial_2
30,NCT04809974,Ropivacaine,result_trial_data_NCT04809974_CF_Ropivacaine_AE_mapped.tsv,1.787513,100,trial_2
31,NCT04809974,Indocyanine_green_ac,result_trial_data_NCT04809974_CF_Indocyanine_green_ac_AE_mapped.tsv,1.799262,100,trial_2
32,NCT04809974,Oxybuprocaine,result_trial_data_NCT04809974_CF_Oxybuprocaine_AE_mapped.tsv,1.846294,100,trial_2
33,NCT04809974,Benzethonium,result_trial_data_NCT04809974_CF_Benzethonium_AE_mapped.tsv,1.850248,100,trial_2
34,NCT04809974,Benzoyl_peroxide,result_trial_data_NCT04809974_CF_Benzoyl_peroxide_AE_mapped.tsv,1.872764,100,trial_2
35,NCT04809974,Salmeterol,result_trial_data_NCT04809974_CF_Salmeterol_AE_mapped.tsv,1.881196,100,trial_2
36,NCT04809974,Timolol,result_trial_data_NCT04809974_CF_Timolol_AE_mapped.tsv,1.884109,100,trial_2
37,NCT04809974,Sulfacetamide,result_trial_data_NCT04809974_CF_Sulfacetamide_AE_mapped.tsv,1.891307,100,trial_2
38,NCT04809974,Adapalene,result_trial_data_NCT04809974_CF_Adapalene_AE_mapped.tsv,1.893671,100,trial_2
39,NCT04809974,Nicotine,result_trial_data_NCT04809974_CF_Nicotine_AE_mapped.tsv,1.898327,100,trial_2
40,NCT04809974,Aminolevulinic_acid,result_trial_data_NCT04809974_CF_Aminolevulinic_acid_AE_mapped.tsv,1.898419,100,trial_2
41,NCT04809974,Dexketoprofen,result_trial_data_NCT04809974_CF_Dexketoprofen_AE_mapped.tsv,1.902099,100,trial_2
42,NCT04809974,Methyl_salicylate,result_trial_data_NCT04809974_CF_Methyl_salicylate_AE_mapped.tsv,1.914070,100,trial_2
43,NCT04809974,Bupivacaine,result_trial_data_NCT04809974_CF_Bupivacaine_AE_mapped.tsv,1.915496,100,trial_2
44,NCT04809974,Levobupivacaine,result_trial_data_NCT04809974_CF_Levobupivacaine_AE_mapped.tsv,1.915496,100,trial_2
45,NCT04809974,Nefopam,result_trial_data_NCT04809974_CF_Nefopam_AE_mapped.tsv,1.916948,100,trial_2
46,NCT04809974,Mephenesin,result_trial_data_NCT04809974_CF_Mephenesin_AE_mapped.tsv,1.920881,100,trial_2
47,NCT04809974,Glipizide,result_trial_data_NCT04809974_CF_Glipizide_AE_mapped.tsv,1.921692,100,trial_2
48,NCT04809974,Ipratropium,result_trial_data_NCT04809974_CF_Ipratropium_AE_mapped.tsv,1.933079,100,trial_2
49,NCT04809974,Beta_carotene,result_trial_data_NCT04809974_CF_Beta_carotene_AE_mapped.tsv,1.935041,100,trial_2
50,NCT04809974,Benzydamine,result_trial_data_NCT04809974_CF_Benzydamine_AE_mapped.tsv,1.940298,100,trial_2
51,NCT04809974,Mepivacaine,result_trial_data_NCT04809974_CF_Mepivacaine_AE_mapped.tsv,1.945981,100,trial_2
52,NCT04809974,Bromfenac,result_trial_data_NCT04809974_CF_Bromfenac_AE_mapped.tsv,1.963591,100,trial_2
53,NCT04809974,Ketorolac,result_trial_data_NCT04809974_CF_Ketorolac_AE_mapped.tsv,1.963666,100,trial_2
54,NCT04809974,Phentolamine,result_trial_data_NCT04809974_CF_Phentolamine_AE_mapped.tsv,1.964378,100,trial_2
55,NCT04809974,Indomethacin,result_trial_data_NCT04809974_CF_Indomethacin_AE_mapped.tsv,1.966372,100,trial_2
56,NCT04809974,Misoprostol,result_trial_data_NCT04809974_CF_Misoprostol_AE_mapped.tsv,1.971085,100,trial_2
57,NCT04809974,Ethanol,result_trial_data_NCT04809974_CF_Ethanol_AE_mapped.tsv,1.977803,100,trial_2
58,NCT04809974,Dexpanthenol,result_trial_data_NCT04809974_CF_Dexpanthenol_AE_mapped.tsv,1.981021,100,trial_2
59,NCT04809974,Clavulanic_acid,result_trial_data_NCT04809974_CF_Clavulanic_acid_AE_mapped.tsv,1.982098,100,trial_2
60,NCT04809974,Gliclazide,result_trial_data_NCT04809974_CF_Gliclazide_AE_mapped.tsv,1.984527,100,trial_2
