rank	drug	file_base	safety_score	efficacy_score	ae_score	safety_norm	efficacy_norm	ae_inverse_norm	composite_score
1	Goserelin	NCT04809974_CF_Goserelin	0.334783	0.530122	1.713776307576334	0.4175904341847088	0.957676590776417	0.21874533307980754	0.5938558766004118
2	Minoxidil	NCT04809974_CF_Minoxidil	0.288513	0.530847	1.448008952476082	0.3399939626691711	1.0	0.27469471024215264	0.590936527116099
3	Idelalisib	NCT04809974_CF_Idelalisib	0.543565	0.525138	3.49685884779319	0.7677254356101896	0.6667250437828388	0.0633069699180404	0.5864415857408195
4	Dasatinib	NCT04809974_CF_Dasatinib	0.517818	0.525777	3.535276316897942	0.7245467809287427	0.7040280210157668	0.061683492364700845	0.5837666192507439
5	Selumetinib	NCT04809974_CF_Selumetinib	0.567685	0.524401	4.829876668658106	0.8081755521642153	0.6237011091652096	0.022074360904991083	0.5771655367127682
6	Iloprost	NCT04809974_CF_Iloprost	0.279693	0.5305	1.5151162760565038	0.3252025021382214	0.9797431406888507	0.2587148965663092	0.5737212364440908
7	Cetrorelix	NCT04809974_CF_Cetrorelix	0.362424	0.528401	1.7182062855921665	0.4639453956967249	0.8572095738470548	0.21795938992384484	0.5720538658022808
8	Buserelin	NCT04809974_CF_Buserelin	0.431536	0.526591	1.9380660008871908	0.5798487313220078	0.7515469935785212	0.18346719764867025	0.5692517294899456
9	Exemestane	NCT04809974_CF_Exemestane	0.385172	0.527577	1.746122784377074	0.5020946183903806	0.809106830122592	0.21309834236620598	0.5671002478784303
10	Ceritinib	NCT04809974_CF_Ceritinib	0.613098	0.52227	3.5810725684277696	0.8843348035351927	0.499299474605957	0.059793707136239015	0.5654124526837078
11	Terlipressin	NCT04809974_CF_Terlipressin	0.411587	0.527016	2.166494007548315	0.5463935333478677	0.7763572679509677	0.1550460049955165	0.5601095215186375
12	Trametinib	NCT04809974_CF_Trametinib	0.682068	0.520208	4.1271433846093695	1.0	0.3789258610624654	0.04049157467804344	0.5596686593605948
13	Nilotinib	NCT04809974_CF_Nilotinib	0.497076	0.525306	3.6750397855881594	0.6897616931358903	0.6765323992994796	0.056063609478630504	0.5577303588698741
14	Ribociclib	NCT04809974_CF_Ribociclib	0.513849	0.524734	3.671860005799679	0.7178906236898154	0.6431406888499748	0.05618671226648908	0.5556498674692139
15	Deoxycholic_acid	NCT04809974_CF_Deoxycholic_acid	0.411877	0.525967	1.5534416120499352	0.5468798738868672	0.7151196730881494	0.250208138603222	0.554841446510651
16	Pentostatin	NCT04809974_CF_Pentostatin	0.519701	0.523786	2.384006990073247	0.7277046403595565	0.587799182720374	0.13304516966727026	0.5528105631654262
17	Imatinib	NCT04809974_CF_Imatinib	0.451372	0.525867	2.547237877408041	0.6131144241895722	0.7092819614711039	0.11900267341737145	0.5527590889477448
18	Cyclosporine	NCT04809974_CF_Cyclosporine	0.372906	0.5269	1.5579732267651685	0.481524090627044	0.769585522475194	0.24922996248126006	0.5502898377371472
19	Ursodeoxycholic_acid	NCT04809974_CF_Ursodeoxycholic_acid	0.463159	0.523403	1.1922097014496085	0.632881651545389	0.565440747227086	0.3521042300390798	0.549749805516806
20	Cabergoline	NCT04809974_CF_Cabergoline	0.303888	0.528352	1.3436464357422646	0.36577839641785037	0.8543490951547043	0.30271723720125177	0.5485944440692722
21	Norepinephrine	NCT04809974_CF_Norepinephrine	0.331379	0.527085	1.184770161472259	0.4118818024786597	0.7803852889667288	0.35485578584637373	0.5478779937474302
22	Anastrozole	NCT04809974_CF_Anastrozole	0.395419	0.526112	1.5896450952393917	0.519279209780476	0.7235843549328699	0.24254910012783487	0.5456552459109054
23	Abiraterone	NCT04809974_CF_Abiraterone	0.508875	0.52398	2.8202226739842424	0.7095490449278035	0.5991243432574451	0.09915065999873861	0.5432994872738471
24	Lenvatinib	NCT04809974_CF_Lenvatinib	0.597835	0.522147	5.714665363542734	0.8587381978567475	0.49211908931699117	0.005327565164726673	0.5414084279024409
25	Citric_acid	NCT04809974_CF_Citric_acid	0.368775	0.524382	0.8757593465968945	0.47459625350081347	0.6225919439579713	0.5104429601429086	0.5409638710120956
26	Cladribine	NCT04809974_CF_Cladribine	0.398545	0.525615	1.5310897349845598	0.5245216253836221	0.6945709281961524	0.25511764041129514	0.5386605495141689
27	Dabrafenib	NCT04809974_CF_Dabrafenib	0.522556	0.523706	3.789363027084617	0.7324925791141894	0.583129013426739	0.051774913356979944	0.5366036196877674
28	Ketamine	NCT04809974_CF_Ketamine	0.344017	0.524395	0.82120944210328	0.4330761877609888	0.6233508464681832	0.5500684169880321	0.5325844970892752
29	Anagrelide	NCT04809974_CF_Anagrelide	0.512188	0.523776	3.791803808463736	0.7151050663267873	0.5872154115586721	0.05168617000814884	0.5312654251558135
30	Protirelin	NCT04809974_CF_Protirelin	0.344472	0.527431	1.97300014849752	0.4338392392963155	0.8005837711617059	0.1786943950369907	0.5295080831906067
31	Tacrolimus	NCT04809974_CF_Tacrolimus	0.42798	0.525265	2.219068723008966	0.5738851900920693	0.6741389375364867	0.14933295940064836	0.5290762429315521
32	Letrozole	NCT04809974_CF_Letrozole	0.394074	0.525185	1.6203634425764883	0.5170235959013232	0.6694687682428516	0.23631886783784997	0.52186071922524
33	Methacholine	NCT04809974_CF_Methacholine	0.267282	0.527704	1.156369170709511	0.304388804105385	0.8165207238762399	0.3656856218762429	0.5215009355678986
34	Cholic_Acid	NCT04809974_CF_Cholic_Acid	0.428363	0.52461	2.0936566405463943	0.5745274950108169	0.6359019264448369	0.1634350068532131	0.5168587699529041
35	Dutasteride	NCT04809974_CF_Dutasteride	0.401391	0.524935	1.7708580233855151	0.5292944708111825	0.6548744892002379	0.20891930175246876	0.515451444355062
36	Dimethyl_sulfoxide	NCT04809974_CF_Dimethyl_sulfoxide	0.406769	0.524342	1.566295284172518	0.5383135722551108	0.6202568593111506	0.2474483383755023	0.512917840301605
37	Dimethyl_fumarate	NCT04809974_CF_Dimethyl_fumarate	0.462206	0.523311	1.972439874848349	0.6312834359120562	0.5600700525394048	0.17876960723991292	0.512295316828567
38	Glycine_betaine	NCT04809974_CF_Glycine_betaine	0.311016	0.527369	1.8163151807617373	0.37773231145918934	0.7969643899591369	0.20153607305219862	0.5101858951777702
39	Triptorelin	NCT04809974_CF_Triptorelin	0.310336	0.527263	1.7525211066706088	0.3765919267470526	0.7907764156450715	0.21200602942396432	0.5093485428416425
40	Sertraline	NCT04809974_CF_Sertraline	0.316717	0.526005	1.234919987979809	0.3872930956413826	0.7173380035026259	0.33694908780475247	0.509242257218554
41	Teriflunomide	NCT04809974_CF_Teriflunomide	0.430129	0.524242	2.157462655054404	0.5774891411896895	0.6144191476941051	0.1560554229321936	0.5079744001399566
42	Ibrutinib	NCT04809974_CF_Ibrutinib	0.481256	0.523814	4.465303933015091	0.663230978215298	0.5894337419731486	0.03090548779567848	0.5072469856345143
43	Degarelix	NCT04809974_CF_Degarelix	0.456688	0.523899	2.894306956231592	0.6220295493803351	0.5943957968476379	0.09440914538981827	0.5054519675691529
44	Nedocromil	NCT04809974_CF_Nedocromil	0.217515	0.528773	1.2684987013461049	0.22092773650405004	0.8789258610624686	0.32575073340835464	0.5050915857082784
45	Timolol	NCT04809974_CF_Timolol	0.29265	0.524683	0.8277860781759934	0.3469318620134499	0.6401634559252799	0.5450142363362139	0.5038409744427348
46	Tyrosine	NCT04809974_CF_Tyrosine	0.320739	0.526279	1.4979047640459593	0.39403813580640296	0.7333333333333385	0.26267683627182126	0.5034839549102608
47	Pheniramine	NCT04809974_CF_Pheniramine	0.286839	0.527063	1.451697918446733	0.33718660383370513	0.7791009924109741	0.27377790697701726	0.5012706198932751
48	Selenomethionine	NCT04809974_CF_Selenomethionine	0.373464	0.52377	1.1537237613927551	0.48245987690553255	0.5868651488616458	0.3667215116364121	0.5010743126341538
49	Bexarotene	NCT04809974_CF_Bexarotene	0.311902	0.526336	1.473501509614287	0.3792181656576498	0.7366608289550532	0.2684528998394674	0.5000421778129748
50	Plerixafor	NCT04809974_CF_Plerixafor	0.34391	0.526202	2.0190474399365463	0.43289674487246144	0.7288382953882069	0.17265561164790214	0.4992251384338478
51	Diclofenamide	NCT04809974_CF_Diclofenamide	0.457371	0.523554	2.82177060972899	0.6231749652014961	0.5742556917688264	0.09904904289162746	0.49878207136645447
52	Mycophenolic_acid	NCT04809974_CF_Mycophenolic_acid	0.425316	0.523229	1.5891612910665551	0.5694175652786396	0.5552831290134319	0.24264915090372713	0.498410107897574
53	Latanoprost	NCT04809974_CF_Latanoprost	0.314632	0.524664	0.9892685460159536	0.3837964748696105	0.6390542907180417	0.4419964859456454	0.49753960342419
54	Debrisoquine	NCT04809974_CF_Debrisoquine	0.368242	0.525317	1.9401826601475456	0.4737023931308592	0.6771745475773537	0.18317312219701917	0.49698540072268904
55	Palbociclib	NCT04809974_CF_Palbociclib	0.436815	0.524248	3.1917318158783	0.5887018061681397	0.6147694103911314	0.07758917264227846	0.49690632115216415
56	Aminolevulinic_acid	NCT04809974_CF_Aminolevulinic_acid	0.272039	0.524989	0.831025531864723	0.3123664659813178	0.6580268534734427	0.5425541049966998	0.4966681487812442
57	Tolrestat	NCT04809974_CF_Tolrestat	0.436016	0.523822	2.4654042136855403	0.5873618541313791	0.5899007589025127	0.12581026293305247	0.49606709780016717
58	Carbocisteine	NCT04809974_CF_Carbocisteine	0.371093	0.524572	1.554485403187571	0.47848362374012643	0.6336835960303603	0.2499823245189902	0.4948633528119928
59	Phenylephrine	NCT04809974_CF_Phenylephrine	0.321822	0.523733	0.8758898316533285	0.3958543661641148	0.5847051955633413	0.5103540921206656	0.4942946431151156
