source_file	trial_id	trial_label	n_ae	total_prob	total_weighted_prob	ae_score
result_trial_data_NCT04880161_AE_mapped.tsv	trial_1	active	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_ATP_AE_mapped.tsv	trial_1	active	100	4.592306291684504	2.3090127802453915	2.3090127802453915
result_trial_data_NCT04880161_CF_ATP_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Abacavir_AE_mapped.tsv	trial_1	active	100	6.579834664240475	2.8726505159167552	2.8726505159167552
result_trial_data_NCT04880161_CF_Abacavir_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Abemaciclib_AE_mapped.tsv	trial_1	active	100	17.09272406995296	6.907927548512815	6.907927548512815
result_trial_data_NCT04880161_CF_Abemaciclib_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Abiraterone_AE_mapped.tsv	trial_1	active	100	13.163962893187996	6.228195695113389	6.228195695113389
result_trial_data_NCT04880161_CF_Abiraterone_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acalabrutinib_AE_mapped.tsv	trial_1	active	100	21.589529812335964	8.913823267444966	8.913823267444966
result_trial_data_NCT04880161_CF_Acalabrutinib_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acamprosate_AE_mapped.tsv	trial_1	active	100	5.012614417821164	2.2086382472421953	2.2086382472421953
result_trial_data_NCT04880161_CF_Acamprosate_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acarbose_AE_mapped.tsv	trial_1	active	100	3.5550283435732077	1.6039942165836671	1.6039942165836671
result_trial_data_NCT04880161_CF_Acarbose_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acebutolol_AE_mapped.tsv	trial_1	active	100	6.31126873195171	2.9153338418342156	2.9153338418342156
result_trial_data_NCT04880161_CF_Acebutolol_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Aceclofenac_AE_mapped.tsv	trial_1	active	100	7.288518957793708	3.2698261597193756	3.2698261597193756
result_trial_data_NCT04880161_CF_Aceclofenac_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acemetacin_AE_mapped.tsv	trial_1	active	100	13.189308479428288	5.714649325236676	5.714649325236676
result_trial_data_NCT04880161_CF_Acemetacin_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acenocoumarol_AE_mapped.tsv	trial_1	active	100	7.629249535500999	3.676569888181983	3.676569888181983
result_trial_data_NCT04880161_CF_Acenocoumarol_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acetaminophen_AE_mapped.tsv	trial_1	active	100	4.840203832834955	2.2194030032027494	2.2194030032027494
result_trial_data_NCT04880161_CF_Acetaminophen_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acetazolamide_AE_mapped.tsv	trial_1	active	100	8.600967464968559	4.498558908561243	4.498558908561243
result_trial_data_NCT04880161_CF_Acetazolamide_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acetohexamide_AE_mapped.tsv	trial_1	active	100	11.237601019442078	5.156772173196075	5.156772173196075
result_trial_data_NCT04880161_CF_Acetohexamide_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acetohydroxamic_acid_AE_mapped.tsv	trial_1	active	100	10.970591038465496	5.410374660510568	5.410374660510568
result_trial_data_NCT04880161_CF_Acetohydroxamic_acid_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acetophenazine_AE_mapped.tsv	trial_1	active	100	9.595480605959889	4.3148726151324786	4.3148726151324786
result_trial_data_NCT04880161_CF_Acetophenazine_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acetylcarnitine_AE_mapped.tsv	trial_1	active	100	5.631070168688889	2.7624549486441516	2.7624549486441516
result_trial_data_NCT04880161_CF_Acetylcarnitine_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acetylcholine_AE_mapped.tsv	trial_1	active	100	8.556522898375984	3.941628775279967	3.941628775279967
result_trial_data_NCT04880161_CF_Acetylcholine_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acetylcysteine_AE_mapped.tsv	trial_1	active	100	4.784450633451338	2.26303886331152	2.26303886331152
result_trial_data_NCT04880161_CF_Acetylcysteine_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acetylsalicylic_acid_AE_mapped.tsv	trial_1	active	100	4.614551868289705	1.984659432829356	1.984659432829356
result_trial_data_NCT04880161_CF_Acetylsalicylic_acid_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acipimox_AE_mapped.tsv	trial_1	active	100	4.056152421981092	1.7970236937515418	1.7970236937515418
result_trial_data_NCT04880161_CF_Acipimox_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acitretin_AE_mapped.tsv	trial_1	active	100	5.8396924473345235	2.743770474847404	2.743770474847404
result_trial_data_NCT04880161_CF_Acitretin_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acrivastine_AE_mapped.tsv	trial_1	active	100	14.238531388342377	6.44112171679735	6.44112171679735
result_trial_data_NCT04880161_CF_Acrivastine_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Acyclovir_AE_mapped.tsv	trial_1	active	100	7.715726573020215	3.6596633372828347	3.6596633372828347
result_trial_data_NCT04880161_CF_Acyclovir_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Adapalene_AE_mapped.tsv	trial_1	active	100	3.4445005096495107	1.5682558175409196	1.5682558175409196
result_trial_data_NCT04880161_CF_Adapalene_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
result_trial_data_NCT04880161_CF_Adefovir_dipivoxil_AE_mapped.tsv	trial_1	active	100	5.102167749777432	2.154654304729773	2.154654304729773
result_trial_data_NCT04880161_CF_Adefovir_dipivoxil_AE_mapped.tsv	trial_2	control	100	10.802002098411316	5.1764235201291715	5.1764235201291715
