rank,drug,file,P_drug_gt_placebo,P_placebo_gt_drug
1,Olaparib,result_trial_data_NCT04880161_CF_Olaparib.json,0.991096,0.008904
2,Temozolomide,result_trial_data_NCT04880161_CF_Temozolomide.json,0.986059,0.013941
3,Enzalutamide,result_trial_data_NCT04880161_CF_Enzalutamide.json,0.984939,0.015061
4,Alectinib,result_trial_data_NCT04880161_CF_Alectinib.json,0.982927,0.017073
5,Trametinib,result_trial_data_NCT04880161_CF_Trametinib.json,0.981278,0.018722
6,Paclitaxel,result_trial_data_NCT04880161_CF_Paclitaxel.json,0.981167,0.018833
7,Ribociclib,result_trial_data_NCT04880161_CF_Ribociclib.json,0.981055,0.018945
8,Belinostat,result_trial_data_NCT04880161_CF_Belinostat.json,0.977742,0.022258
9,Everolimus,result_trial_data_NCT04880161_CF_Everolimus.json,0.977231,0.022769
10,Pazopanib,result_trial_data_NCT04880161_CF_Pazopanib.json,0.976283,0.023717
11,Idelalisib,result_trial_data_NCT04880161_CF_Idelalisib.json,0.976275,0.023725
12,Romidepsin,result_trial_data_NCT04880161_CF_Romidepsin.json,0.976078,0.023922
13,Temsirolimus,result_trial_data_NCT04880161_CF_Temsirolimus.json,0.975930,0.024070
14,Palbociclib,result_trial_data_NCT04880161_CF_Palbociclib.json,0.975011,0.024989
15,Niraparib,result_trial_data_NCT04880161_CF_Niraparib.json,0.974176,0.025824
16,Midostaurin,result_trial_data_NCT04880161_CF_Midostaurin.json,0.973973,0.026027
17,Ibrutinib,result_trial_data_NCT04880161_CF_Ibrutinib.json,0.973718,0.026282
18,Doxorubicin,result_trial_data_NCT04880161_CF_Doxorubicin.json,0.972137,0.027863
19,Dabrafenib,result_trial_data_NCT04880161_CF_Dabrafenib.json,0.971762,0.028238
20,Exemestane,result_trial_data_NCT04880161_CF_Exemestane.json,0.971129,0.028871
21,Dacarbazine,result_trial_data_NCT04880161_CF_Dacarbazine.json,0.971064,0.028936
22,Lomustine,result_trial_data_NCT04880161_CF_Lomustine.json,0.970775,0.029225
23,Selumetinib,result_trial_data_NCT04880161_CF_Selumetinib.json,0.970542,0.029458
24,Axitinib,result_trial_data_NCT04880161_CF_Axitinib.json,0.970494,0.029506
25,Fulvestrant,result_trial_data_NCT04880161_CF_Fulvestrant.json,0.970123,0.029877
26,Lenvatinib,result_trial_data_NCT04880161_CF_Lenvatinib.json,0.970056,0.029944
27,Venetoclax,result_trial_data_NCT04880161_CF_Venetoclax.json,0.969885,0.030115
28,Cabozantinib,result_trial_data_NCT04880161_CF_Cabozantinib.json,0.968387,0.031613
29,Dacomitinib,result_trial_data_NCT04880161_CF_Dacomitinib.json,0.967432,0.032568
30,Abiraterone,result_trial_data_NCT04880161_CF_Abiraterone.json,0.966362,0.033638
31,Sunitinib,result_trial_data_NCT04880161_CF_Sunitinib.json,0.966239,0.033761
