rank	drug	file_base	safety_score	efficacy_score	ae_score	safety_norm	efficacy_norm	ae_inverse_norm	composite_score
1	Olaparib	NCT04880161_CF_Olaparib	0.608306	0.991096	5.176423520129172	0.0	1.0	0.0	0.4
2	Temozolomide	NCT04880161_CF_Temozolomide	0.608306	0.986059	5.176423520129172	0.0	0.9919551391599614	0.0	0.39678205566398456
3	Enzalutamide	NCT04880161_CF_Enzalutamide	0.608306	0.984939	5.176423520129172	0.0	0.9901663275377967	0.0	0.3960665310151187
4	Alectinib	NCT04880161_CF_Alectinib	0.608306	0.982927	5.176423520129172	0.0	0.9869528552308364	0.0	0.3947811420923346
5	Trametinib	NCT04880161_CF_Trametinib	0.608306	0.981278	5.176423520129172	0.0	0.9843191495478457	0.0	0.3937276598191383
6	Paclitaxel	NCT04880161_CF_Paclitaxel	0.608306	0.981167	5.176423520129172	0.0	0.9841418655388634	0.0	0.39365674621554536
7	Ribociclib	NCT04880161_CF_Ribociclib	0.608306	0.981055	5.176423520129172	0.0	0.9839629843766471	0.0	0.39358519375065887
8	Belinostat	NCT04880161_CF_Belinostat	0.608306	0.977742	5.176423520129172	0.0	0.9786716157121546	0.0	0.39146864628486183
9	Everolimus	NCT04880161_CF_Everolimus	0.608306	0.977231	5.176423520129172	0.0	0.977855470409542	0.0	0.39114218816381685
10	Pazopanib	NCT04880161_CF_Pazopanib	0.608306	0.976283	5.176423520129172	0.0	0.9763413691436384	0.0	0.3905365476574554
11	Idelalisib	NCT04880161_CF_Idelalisib	0.608306	0.976275	5.176423520129172	0.0	0.9763285919177658	0.0	0.39053143676710633
12	Romidepsin	NCT04880161_CF_Romidepsin	0.608306	0.976078	5.176423520129172	0.0	0.976013952730653	0.0	0.3904055810922612
13	Temsirolimus	NCT04880161_CF_Temsirolimus	0.608306	0.97593	5.176423520129172	0.0	0.9757775740520097	0.0	0.3903110296208039
14	Palbociclib	NCT04880161_CF_Palbociclib	0.608306	0.975011	5.176423520129172	0.0	0.9743097902298941	0.0	0.38972391609195767
15	Niraparib	NCT04880161_CF_Niraparib	0.608306	0.974176	5.176423520129172	0.0	0.972976167279441	0.0	0.38919046691177644
16	Midostaurin	NCT04880161_CF_Midostaurin	0.608306	0.973973	5.176423520129172	0.0	0.9726519451729237	0.0	0.3890607780691695
17	Ibrutinib	NCT04880161_CF_Ibrutinib	0.608306	0.973718	5.176423520129172	0.0	0.9722446710982343	0.0	0.38889786843929375
18	Doxorubicin	NCT04880161_CF_Doxorubicin	0.608306	0.972137	5.176423520129172	0.0	0.9697195718351611	0.0	0.38788782873406447
19	Dabrafenib	NCT04880161_CF_Dabrafenib	0.608306	0.971762	5.176423520129172	0.0	0.9691206393723827	0.0	0.3876482557489531
20	Exemestane	NCT04880161_CF_Exemestane	0.608306	0.971129	5.176423520129172	0.0	0.9681096413752127	0.0	0.3872438565500851
21	Dacarbazine	NCT04880161_CF_Dacarbazine	0.608306	0.971064	5.176423520129172	0.0	0.9680058264149979	0.0	0.3872023305659992
22	Lomustine	NCT04880161_CF_Lomustine	0.608306	0.970775	5.176423520129172	0.0	0.96754424913035	0.0	0.38701769965214
23	Selumetinib	NCT04880161_CF_Selumetinib	0.608306	0.970542	5.176423520129172	0.0	0.9671721124268106	0.0	0.38686884497072427
24	Axitinib	NCT04880161_CF_Axitinib	0.608306	0.970494	5.176423520129172	0.0	0.9670954490715749	0.0	0.38683817962863
25	Fulvestrant	NCT04880161_CF_Fulvestrant	0.608306	0.970123	5.176423520129172	0.0	0.9665029052217325	0.0	0.38660116208869305
