rank,drug,file,safety_drug
1,ATP,result_trial_data_NCT04880161_CF_ATP.json,0.608306
2,Abacavir,result_trial_data_NCT04880161_CF_Abacavir.json,0.608306
3,Abemaciclib,result_trial_data_NCT04880161_CF_Abemaciclib.json,0.608306
4,Abiraterone,result_trial_data_NCT04880161_CF_Abiraterone.json,0.608306
5,Acalabrutinib,result_trial_data_NCT04880161_CF_Acalabrutinib.json,0.608306
6,Acamprosate,result_trial_data_NCT04880161_CF_Acamprosate.json,0.608306
7,Acarbose,result_trial_data_NCT04880161_CF_Acarbose.json,0.608306
8,Acebutolol,result_trial_data_NCT04880161_CF_Acebutolol.json,0.608306
9,Aceclofenac,result_trial_data_NCT04880161_CF_Aceclofenac.json,0.608306
10,Acemetacin,result_trial_data_NCT04880161_CF_Acemetacin.json,0.608306
11,Acenocoumarol,result_trial_data_NCT04880161_CF_Acenocoumarol.json,0.608306
12,Acetaminophen,result_trial_data_NCT04880161_CF_Acetaminophen.json,0.608306
13,Acetazolamide,result_trial_data_NCT04880161_CF_Acetazolamide.json,0.608306
14,Acetohexamide,result_trial_data_NCT04880161_CF_Acetohexamide.json,0.608306
15,Acetohydroxamic_acid,result_trial_data_NCT04880161_CF_Acetohydroxamic_acid.json,0.608306
16,Acetophenazine,result_trial_data_NCT04880161_CF_Acetophenazine.json,0.608306
17,Acetylcarnitine,result_trial_data_NCT04880161_CF_Acetylcarnitine.json,0.608306
18,Acetylcholine,result_trial_data_NCT04880161_CF_Acetylcholine.json,0.608306
19,Acetylcysteine,result_trial_data_NCT04880161_CF_Acetylcysteine.json,0.608306
20,Acetylsalicylic_acid,result_trial_data_NCT04880161_CF_Acetylsalicylic_acid.json,0.608306
21,Acipimox,result_trial_data_NCT04880161_CF_Acipimox.json,0.608306
22,Acitretin,result_trial_data_NCT04880161_CF_Acitretin.json,0.608306
23,Acrivastine,result_trial_data_NCT04880161_CF_Acrivastine.json,0.608306
24,Acyclovir,result_trial_data_NCT04880161_CF_Acyclovir.json,0.608306
25,Adapalene,result_trial_data_NCT04880161_CF_Adapalene.json,0.608306
