rank	drug	file_base	safety_score	efficacy_score	ae_score	safety_norm	efficacy_norm	ae_inverse_norm	composite_score	rank_num	drug_norm	drug_match	hard_block_reasons	soft_block_reasons	keep_hints	hard_blocked	soft_blocked	kept_by_hints	kept_by_top	hard_whitelist	lc_keep_pheno	lc_status_pheno
208	Ivabradine	NCT04880161_CF_Ivabradine	0.608306	0.866506	5.176423520129172	0.0	0.8010106785665231	0.0	0.3204042714266092	208	ivabradine	ivabradine			autonomic_pots	False	False	True	False	False	True	KEEP
48	Deoxycholic_acid	NCT04880161_CF_Deoxycholic_acid	0.608306	0.953028	5.176423520129172	0.0	0.9391995706852106	0.0	0.3756798282740843	48	deoxycholic_acid	deoxycholic acid			bile_acids_metabolic_fibrotic	False	False	True	True	False	True	KEEP
105	Resveratrol	NCT04880161_CF_Resveratrol	0.608306	0.915706	5.176423520129172	0.0	0.8795906176830417	0.0	0.3518362470732167	105	resveratrol	resveratrol			low_risk_supportive	False	False	True	False	False	True	KEEP
135	Tyrosine	NCT04880161_CF_Tyrosine	0.608306	0.896543	5.176423520129172	0.0	0.8489843702584512	0.0	0.3395937481033805	135	tyrosine	tyrosine			low_risk_supportive	False	False	True	False	False	True	KEEP
161	Riboflavin	NCT04880161_CF_Riboflavin	0.608306	0.887626	5.176423520129172	0.0	0.8347425548701994	0.0	0.3338970219480798	161	riboflavin	riboflavin			low_risk_supportive	False	False	True	False	False	True	KEEP
85	Flumazenil	NCT04880161_CF_Flumazenil	0.608306	0.927789	5.176423520129172	0.0	0.898889020210377	0.0	0.3595556080841508	85	flumazenil	flumazenil			neuro_cognitive_psych	False	False	True	False	False	True	KEEP
96	Ramelteon	NCT04880161_CF_Ramelteon	0.608306	0.920039	5.176423520129172	0.0	0.8865110826462914	0.0	0.3546044330585166	96	ramelteon	ramelteon			neuro_cognitive_psych	False	False	True	False	False	True	KEEP
167	Modafinil	NCT04880161_CF_Modafinil	0.608306	0.885897	5.176423520129172	0.0	0.8319810769284827	0.0	0.3327924307713931	167	modafinil	modafinil			neuro_cognitive_psych	False	False	True	False	False	True	KEEP
211	Pimavanserin	NCT04880161_CF_Pimavanserin	0.608306	0.865604	5.176423520129172	0.0	0.799570046349387	0.0	0.3198280185397548	211	pimavanserin	pimavanserin			neuro_cognitive_psych	False	False	True	False	False	True	KEEP
132	Vardenafil	NCT04880161_CF_Vardenafil	0.608306	0.899196	5.176423520129172	0.0	0.8532216177884537	0.0	0.3412886471153815	132	vardenafil	vardenafil			pulmonary_vascular_endothelial	False	False	True	False	False	True	KEEP
160	Selexipag	NCT04880161_CF_Selexipag	0.608306	0.888	5.176423520129172	0.0	0.8353398901797435	0.0	0.3341359560718974	160	selexipag	selexipag			pulmonary_vascular_endothelial	False	False	True	False	False	True	KEEP
207	Tadalafil	NCT04880161_CF_Tadalafil	0.608306	0.868947	5.176423520129172	0.0	0.8049093296109014	0.0	0.3219637318443606	207	tadalafil	tadalafil			pulmonary_vascular_endothelial	False	False	True	False	False	True	KEEP
