rank,drug,file,P_drug_gt_placebo,P_placebo_gt_drug
1,Minoxidil,result_trial_data_NCT04809974_CF_Minoxidil.json,0.530847,0.469153
2,Iloprost,result_trial_data_NCT04809974_CF_Iloprost.json,0.530500,0.469500
3,Goserelin,result_trial_data_NCT04809974_CF_Goserelin.json,0.530122,0.469878
4,Nedocromil,result_trial_data_NCT04809974_CF_Nedocromil.json,0.528773,0.471227
5,Cetrorelix,result_trial_data_NCT04809974_CF_Cetrorelix.json,0.528401,0.471599
6,Cabergoline,result_trial_data_NCT04809974_CF_Cabergoline.json,0.528352,0.471648
7,Tipranavir,result_trial_data_NCT04809974_CF_Tipranavir.json,0.528331,0.471669
8,Roflumilast,result_trial_data_NCT04809974_CF_Roflumilast.json,0.528318,0.471682
9,Pimavanserin,result_trial_data_NCT04809974_CF_Pimavanserin.json,0.528167,0.471833
10,Acetylcholine,result_trial_data_NCT04809974_CF_Acetylcholine.json,0.528091,0.471909
11,Vardenafil,result_trial_data_NCT04809974_CF_Vardenafil.json,0.528083,0.471917
12,Flumazenil,result_trial_data_NCT04809974_CF_Flumazenil.json,0.527822,0.472178
13,Methacholine,result_trial_data_NCT04809974_CF_Methacholine.json,0.527704,0.472296
14,Fluvastatin,result_trial_data_NCT04809974_CF_Fluvastatin.json,0.527645,0.472355
15,Exemestane,result_trial_data_NCT04809974_CF_Exemestane.json,0.527577,0.472423
16,Ritonavir,result_trial_data_NCT04809974_CF_Ritonavir.json,0.527459,0.472541
17,Protirelin,result_trial_data_NCT04809974_CF_Protirelin.json,0.527431,0.472569
18,Glycine_betaine,result_trial_data_NCT04809974_CF_Glycine_betaine.json,0.527369,0.472631
19,Adenosine,result_trial_data_NCT04809974_CF_Adenosine.json,0.527361,0.472639
20,Fluconazole,result_trial_data_NCT04809974_CF_Fluconazole.json,0.527346,0.472654
21,Guanosine_5__Diphosp,result_trial_data_NCT04809974_CF_Guanosine_5__Diphosp.json,0.527297,0.472703
22,Treprostinil,result_trial_data_NCT04809974_CF_Treprostinil.json,0.527294,0.472706
23,Triptorelin,result_trial_data_NCT04809974_CF_Triptorelin.json,0.527263,0.472737
24,Benzoic_acid,result_trial_data_NCT04809974_CF_Benzoic_acid.json,0.527220,0.472780
25,Resveratrol,result_trial_data_NCT04809974_CF_Resveratrol.json,0.527085,0.472915
26,Norepinephrine,result_trial_data_NCT04809974_CF_Norepinephrine.json,0.527085,0.472915
27,Tulobuterol,result_trial_data_NCT04809974_CF_Tulobuterol.json,0.527084,0.472916
28,Pheniramine,result_trial_data_NCT04809974_CF_Pheniramine.json,0.527063,0.472937
29,Regadenoson,result_trial_data_NCT04809974_CF_Regadenoson.json,0.527058,0.472942
30,Dopamine,result_trial_data_NCT04809974_CF_Dopamine.json,0.527031,0.472969
31,Rosiglitazone,result_trial_data_NCT04809974_CF_Rosiglitazone.json,0.527031,0.472969
32,Terlipressin,result_trial_data_NCT04809974_CF_Terlipressin.json,0.527016,0.472984
33,Cyclosporine,result_trial_data_NCT04809974_CF_Cyclosporine.json,0.526900,0.473100
34,Telmisartan,result_trial_data_NCT04809974_CF_Telmisartan.json,0.526729,0.473271
35,Bromfenac,result_trial_data_NCT04809974_CF_Bromfenac.json,0.526689,0.473311
36,Loxapine,result_trial_data_NCT04809974_CF_Loxapine.json,0.526665,0.473335
37,Riboflavin,result_trial_data_NCT04809974_CF_Riboflavin.json,0.526647,0.473353
38,Buserelin,result_trial_data_NCT04809974_CF_Buserelin.json,0.526591,0.473409
39,Dacomitinib,result_trial_data_NCT04809974_CF_Dacomitinib.json,0.526582,0.473418
40,Selexipag,result_trial_data_NCT04809974_CF_Selexipag.json,0.526555,0.473445
41,Arsenic_trioxide,result_trial_data_NCT04809974_CF_Arsenic_trioxide.json,0.526531,0.473469
42,Econazole,result_trial_data_NCT04809974_CF_Econazole.json,0.526502,0.473498
43,Methylene_blue,result_trial_data_NCT04809974_CF_Methylene_blue.json,0.526441,0.473559
44,Vorinostat,result_trial_data_NCT04809974_CF_Vorinostat.json,0.526431,0.473569
45,Levocarnitine,result_trial_data_NCT04809974_CF_Levocarnitine.json,0.526398,0.473602
46,Donepezil,result_trial_data_NCT04809974_CF_Donepezil.json,0.526340,0.473660
47,Bexarotene,result_trial_data_NCT04809974_CF_Bexarotene.json,0.526336,0.473664
48,Amprenavir,result_trial_data_NCT04809974_CF_Amprenavir.json,0.526323,0.473677
49,Salbutamol,result_trial_data_NCT04809974_CF_Salbutamol.json,0.526313,0.473687
50,Saquinavir,result_trial_data_NCT04809974_CF_Saquinavir.json,0.526306,0.473694
51,Tyrosine,result_trial_data_NCT04809974_CF_Tyrosine.json,0.526279,0.473721
52,Acetazolamide,result_trial_data_NCT04809974_CF_Acetazolamide.json,0.526262,0.473738
53,Plerixafor,result_trial_data_NCT04809974_CF_Plerixafor.json,0.526202,0.473798
54,Indacaterol,result_trial_data_NCT04809974_CF_Indacaterol.json,0.526169,0.473831
55,Bosentan,result_trial_data_NCT04809974_CF_Bosentan.json,0.526166,0.473834
56,Bifonazole,result_trial_data_NCT04809974_CF_Bifonazole.json,0.526153,0.473847
57,Lysergic_acid_diethy,result_trial_data_NCT04809974_CF_Lysergic_acid_diethy.json,0.526113,0.473887
58,Anastrozole,result_trial_data_NCT04809974_CF_Anastrozole.json,0.526112,0.473888
59,Metyrapone,result_trial_data_NCT04809974_CF_Metyrapone.json,0.526106,0.473894
60,Pseudoephedrine,result_trial_data_NCT04809974_CF_Pseudoephedrine.json,0.526095,0.473905
61,Theophylline,result_trial_data_NCT04809974_CF_Theophylline.json,0.526051,0.473949
62,Ciclopirox,result_trial_data_NCT04809974_CF_Ciclopirox.json,0.526008,0.473992
63,Sertraline,result_trial_data_NCT04809974_CF_Sertraline.json,0.526005,0.473995
64,Epinastine,result_trial_data_NCT04809974_CF_Epinastine.json,0.526004,0.473996
65,Nicotine,result_trial_data_NCT04809974_CF_Nicotine.json,0.525999,0.474001
