drug_key,cohort_origin
abacavir,NCT04809974
acetohexamide,NCT04809974
acetophenazine,NCT04809974
acyclovir,NCT04809974
adenosine_phosphate,NCT04809974
albendazole,NCT04809974
alclofenac,NCT04809974
alcuronium,NCT04809974
altretamine,NCT04809974
amcinonide,NCT04809974
amdinocillin,NCT04809974
amikacin,NCT04809974
amineptine,NCT04809974
amisulpride,NCT04809974
amphetamine,NCT04809974
amphotericin_b,NCT04809974
anisindione,NCT04809974
antipyrine,NCT04809974
aripiprazole,NCT04809974
artenimol,NCT04809974
artesunate,NCT04809974
asenapine,NCT04809974
atazanavir,NCT04809974
auranofin,NCT04809974
aurothioglucose,NCT04809974
azlocillin,NCT04809974
bacampicillin,NCT04809974
bendroflumethiazide,NCT04809974
benziodarone,NCT04809974
benzonatate,NCT04809974
benzquinamide,NCT04809974
benzyl_benzoate,NCT04809974
beta_sitosterol,NCT04809974
bretylium,NCT04809974
buformin,NCT04809974
bumetanide,NCT04809974
butabarbital,NCT04809974
butylscopolamine,NCT04809974
calcitriol,NCT04809974
canrenone,NCT04809974
carbimazole,NCT04809974
cefaclor,NCT04809974
cefapirin,NCT04809974
cefazolin,NCT04809974
cefonicid,NCT04809974
cefoperazone,NCT04809974
cefotetan,NCT04809974
cefoxitin,NCT04809974
ceftibuten,NCT04809974
cephalexin,NCT04809974
chlormadinone_acetat,NCT04809974
chlorothiazide,NCT04809974
chlorphentermine,NCT04809974
chlorzoxazone,NCT04809974
cinacalcet,NCT04809974
cinchocaine,NCT04809974
clarithromycin,NCT04809974
clemastine,NCT04809974
clidinium,NCT04809974
clioquinol,NCT04809974
clobetasol_propionat,NCT04809974
clobutinol,NCT04809974
clofibrate,NCT04809974
clonazepam,NCT04809974
clonidine,NCT04809974
codeine,NCT04809974
colistin,NCT04809974
cortisone_acetate,NCT04809974
cyclandelate,NCT04809974
cyclofenil,NCT04809974
cyclopenthiazide,NCT04809974
cycloserine,NCT04809974
daclatasvir,NCT04809974
dantron,NCT04809974
darifenacin,NCT04809974
darunavir,NCT04809974
deflazacort,NCT04809974
delamanid,NCT04809974
delavirdine,NCT04809974
deslanoside,NCT04809974
dexamethasone_acetat,NCT04809974
dextroamphetamine,NCT04809974
dichloroacetic_acid,NCT04809974
dicyclomine,NCT04809974
dienestrol,NCT04809974
dihydrostreptomycin,NCT04809974
disopyramide,NCT04809974
dolasetron,NCT04809974
doripenem,NCT04809974
dosulepin,NCT04809974
doxapram,NCT04809974
doxycycline,NCT04809974
duloxetine,NCT04809974
dyclonine,NCT04809974
edrophonium,NCT04809974
efavirenz,NCT04809974
emtricitabine,NCT04809974
enoximone,NCT04809974
entecavir,NCT04809974
eplerenone,NCT04809974
esmolol,NCT04809974
estradiol_acetate,NCT04809974
estradiol_benzoate,NCT04809974
estradiol_cypionate,NCT04809974
estradiol_valerate,NCT04809974
etacrynic_acid,NCT04809974
ethotoin,NCT04809974
ethyl_chloride,NCT04809974
ethylestrenol,NCT04809974
etidronic_acid,NCT04809974
fenbufen,NCT04809974
fentanyl,NCT04809974
flavoxate,NCT04809974
floxuridine,NCT04809974
flufenamic_acid,NCT04809974
fluorometholone,NCT04809974
fluphenazine,NCT04809974
flurandrenolide,NCT04809974
flurazepam,NCT04809974
fluticasone_furoate,NCT04809974
fosinopril,NCT04809974
fructose,NCT04809974
furazolidone,NCT04809974
gallamine,NCT04809974
glibornuride,NCT04809974
glymidine,NCT04809974
granisetron,NCT04809974
halcinonide,NCT04809974
haloprogin,NCT04809974
homatropine_methylbr,NCT04809974
hydrochlorothiazide,NCT04809974
hydroflumethiazide,NCT04809974
hydroxychloroquine,NCT04809974
ibandronate,NCT04809974
idoxuridine,NCT04809974
ifenprodil,NCT04809974
imatinib,NCT04809974
indapamide,NCT04809974
insulin_human,NCT04809974
iopanoic_acid,NCT04809974
isoxsuprine,NCT04809974
istradefylline,NCT04809974
kanamycin,NCT04809974
kappadione,NCT04809974
lacidipine,NCT04809974
lactitol,NCT04809974
lactulose,NCT04809974
lamivudine,NCT04809974
lanatoside_c,NCT04809974
ledipasvir,NCT04809974
levallorphan,NCT04809974
levamlodipine,NCT04809974
levorphanol,NCT04809974
levothyroxine,NCT04809974
lofexidine,NCT04809974
lysergic_acid_diethy,NCT04809974
mannitol,NCT04809974
mazindol,NCT04809974
mebeverine,NCT04809974
mecamylamine,NCT04809974
medroxyprogesterone_,NCT04809974
megestrol_acetate,NCT04809974
meropenem,NCT04809974
mestranol,NCT04809974
metamizole,NCT04809974
methotrexate,NCT04809974
methotrimeprazine,NCT04809974
methscopolamine_brom,NCT04809974
methyclothiazide,NCT04809974
methylprednisolone_a,NCT04809974
methylprednisolone_h,NCT04809974
metildigoxin,NCT04809974
metoclopramide,NCT04809974
mexiletine,NCT04809974
miglustat,NCT04809974
milnacipran,NCT04809974
moexipril,NCT04809974
mometasone_furoate,NCT04809974
moxidectin,NCT04809974
moxisylyte,NCT04809974
nalfurafine,NCT04809974
nalmefene,NCT04809974
naloxone,NCT04809974
naltrexone,NCT04809974
nedocromil,NCT04809974
nefopam,NCT04809974
niclosamide,NCT04809974
nitazoxanide,NCT04809974
nitrendipine,NCT04809974
nizatidine,NCT04809974
norethynodrel,NCT04809974
norgestimate,NCT04809974
nystatin,NCT04809974
obeticholic_acid,NCT04809974
ondansetron,NCT04809974
ouabain,NCT04809974
oxazepam,NCT04809974
oxytetracycline,NCT04809974
paliperidone,NCT04809974
pefloxacin,NCT04809974
pemoline,NCT04809974
pentamidine,NCT04809974
pentostatin,NCT04809974
phenacemide,NCT04809974
phenformin,NCT04809974
phenobarbital,NCT04809974
phentermine,NCT04809974
pilocarpine,NCT04809974
pimozide,NCT04809974
piperacillin,NCT04809974
pivampicillin,NCT04809974
polyethylene_glycol,NCT04809974
pravastatin,NCT04809974
praziquantel,NCT04809974
prednicarbate,NCT04809974
prednisolone,NCT04809974
prednisolone_acetate,NCT04809974
pregabalin,NCT04809974
prochlorperazine,NCT04809974
profenamine,NCT04809974
proguanil,NCT04809974
promazine,NCT04809974
promethazine,NCT04809974
proscillaridin,NCT04809974
prucalopride,NCT04809974
pseudoephedrine,NCT04809974
pyrithione,NCT04809974
quinacrine,NCT04809974
quinapril,NCT04809974
racecadotril,NCT04809974
ranitidine,NCT04809974
reserpine,NCT04809974
result_trial_data_nct04809974,NCT04809974
revefenacin,NCT04809974
ribavirin,NCT04809974
rifampicin,NCT04809974
risedronic_acid,NCT04809974
saxagliptin,NCT04809974
sibutramine,NCT04809974
silodosin,NCT04809974
sofosbuvir,NCT04809974
sparteine,NCT04809974
spectinomycin,NCT04809974
spirapril,NCT04809974
spironolactone,NCT04809974
succimer,NCT04809974
sulfabenzamide,NCT04809974
sulfadiazine,NCT04809974
sulfamethazine,NCT04809974
sulfametopyrazine,NCT04809974
sulfanilamide,NCT04809974
sulfaphenazole,NCT04809974
suprofen,NCT04809974
telithromycin,NCT04809974
terbinafine,NCT04809974
testolactone,NCT04809974
tetrabenazine,NCT04809974
theophylline,NCT04809974
thioridazine,NCT04809974
tiagabine,NCT04809974
tienilic_acid,NCT04809974
tiopronin,NCT04809974
tocofersolan,NCT04809974
