cohort,file,drug_key
NCT04809974,NCT04809974_avoid_delta_q10.csv,abemaciclib
NCT04809974,NCT04809974_avoid_delta_q10.csv,abiraterone
NCT04809974,NCT04809974_avoid_delta_q10.csv,acalabrutinib
NCT04809974,NCT04809974_avoid_delta_q10.csv,acamprosate
NCT04809974,NCT04809974_avoid_delta_q10.csv,acarbose
NCT04809974,NCT04809974_avoid_delta_q10.csv,acetaminophen
NCT04809974,NCT04809974_avoid_delta_q10.csv,acetophenazine
NCT04809974,NCT04809974_avoid_delta_q10.csv,acetylcholine
NCT04809974,NCT04809974_avoid_delta_q10.csv,acetylsalicylic_acid
NCT04809974,NCT04809974_avoid_delta_q10.csv,acyclovir
NCT04809974,NCT04809974_avoid_delta_q10.csv,adapalene
NCT04809974,NCT04809974_avoid_delta_q10.csv,adefovir_dipivoxil
NCT04809974,NCT04809974_avoid_delta_q10.csv,adenosine
NCT04809974,NCT04809974_avoid_delta_q10.csv,adenosine_phosphate
NCT04809974,NCT04809974_avoid_delta_q10.csv,alcuronium
NCT04809974,NCT04809974_avoid_delta_q10.csv,alectinib
NCT04809974,NCT04809974_avoid_delta_q10.csv,alendronic_acid
NCT04809974,NCT04809974_avoid_delta_q10.csv,alogliptin
NCT04809974,NCT04809974_avoid_delta_q10.csv,alpelisib
NCT04809974,NCT04809974_avoid_delta_q10.csv,alprazolam
NCT04809974,NCT04809974_avoid_delta_q10.csv,aminosalicylic_acid
NCT04809974,NCT04809974_avoid_delta_q10.csv,amlexanox
NCT04809974,NCT04809974_avoid_delta_q10.csv,anagrelide
NCT04809974,NCT04809974_avoid_delta_q10.csv,apremilast
NCT04809974,NCT04809974_avoid_delta_q10.csv,artenimol
NCT04809974,NCT04809974_avoid_delta_q10.csv,artesunate
NCT04809974,NCT04809974_avoid_delta_q10.csv,articaine
NCT04809974,NCT04809974_avoid_delta_q10.csv,asenapine
NCT04809974,NCT04809974_avoid_delta_q10.csv,ataluren
NCT04809974,NCT04809974_avoid_delta_q10.csv,atropine
NCT04809974,NCT04809974_avoid_delta_q10.csv,auranofin
NCT04809974,NCT04809974_avoid_delta_q10.csv,avatrombopag
NCT04809974,NCT04809974_avoid_delta_q10.csv,avibactam
NCT04809974,NCT04809974_avoid_delta_q10.csv,axitinib
NCT04809974,NCT04809974_avoid_delta_q10.csv,azacitidine
NCT04809974,NCT04809974_avoid_delta_q10.csv,azelastine
NCT04809974,NCT04809974_avoid_delta_q10.csv,bacampicillin
NCT04809974,NCT04809974_avoid_delta_q10.csv,bacitracin
NCT04809974,NCT04809974_avoid_delta_q10.csv,balsalazide
NCT04809974,NCT04809974_avoid_delta_q10.csv,baricitinib
NCT04809974,NCT04809974_avoid_delta_q10.csv,belinostat
NCT04809974,NCT04809974_avoid_delta_q10.csv,bendroflumethiazide
NCT04809974,NCT04809974_avoid_delta_q10.csv,benfluorex
NCT04809974,NCT04809974_avoid_delta_q10.csv,benoxaprofen
NCT04809974,NCT04809974_avoid_delta_q10.csv,benperidol
NCT04809974,NCT04809974_avoid_delta_q10.csv,benzatropine
NCT04809974,NCT04809974_avoid_delta_q10.csv,benzbromarone
NCT04809974,NCT04809974_avoid_delta_q10.csv,benzethonium
NCT04809974,NCT04809974_avoid_delta_q10.csv,benziodarone
NCT04809974,NCT04809974_avoid_delta_q10.csv,benzocaine
NCT04809974,NCT04809974_avoid_delta_q10.csv,benzoyl_peroxide
NCT04809974,NCT04809974_avoid_delta_q10.csv,bepridil
NCT04809974,NCT04809974_avoid_delta_q10.csv,beta_carotene
NCT04809974,NCT04809974_avoid_delta_q10.csv,bethanechol
NCT04809974,NCT04809974_avoid_delta_q10.csv,binimetinib
NCT04809974,NCT04809974_avoid_delta_q10.csv,bisacodyl
NCT04809974,NCT04809974_avoid_delta_q10.csv,bithionol
