drug_key,cohort_origin
acenocoumarol,NCT04880161
amifostine,NCT04880161
aminoglutethimide,NCT04880161
aminolevulinic_acid,NCT04880161
amlodipine,NCT04880161
amprenavir,NCT04880161
amsacrine,NCT04880161
anastrozole,NCT04880161
atorvastatin,NCT04880161
azilsartan_medoxomil,NCT04880161
aztreonam,NCT04880161
bendamustine,NCT04880161
bendazac,NCT04880161
bentiromide,NCT04880161
benzphetamine,NCT04880161
betazole,NCT04880161
bethanidine,NCT04880161
bexarotene,NCT04880161
bicalutamide,NCT04880161
bimatoprost,NCT04880161
biotin,NCT04880161
bisindolylmaleimide_,NCT04880161
bivalirudin,NCT04880161
brexpiprazole,NCT04880161
bupivacaine,NCT04880161
bupropion,NCT04880161
buserelin,NCT04880161
busulfan,NCT04880161
capecitabine,NCT04880161
carbamazepine,NCT04880161
carbenicillin,NCT04880161
carbenoxolone,NCT04880161
cariprazine,NCT04880161
carmustine,NCT04880161
caspofungin,NCT04880161
cefixime,NCT04880161
cefmenoxime,NCT04880161
cefotaxime,NCT04880161
cefotiam,NCT04880161
cefradine,NCT04880161
cefuroxime,NCT04880161
celecoxib,NCT04880161
chloroxine,NCT04880161
cinoxacin,NCT04880161
cisplatin,NCT04880161
clobazam,NCT04880161
clopidogrel,NCT04880161
cloxacillin,NCT04880161
cocaine,NCT04880161
coenzyme_m,NCT04880161
cyclophosphamide,NCT04880161
dacarbazine,NCT04880161
dactinomycin,NCT04880161
dalfampridine,NCT04880161
daunorubicin,NCT04880161
debrisoquine,NCT04880161
delafloxacin,NCT04880161
deoxycholic_acid,NCT04880161
deserpidine,NCT04880161
desmopressin,NCT04880161
diclofenac,NCT04880161
dihydroergocristine,NCT04880161
dimethyl_fumarate,NCT04880161
dimethyl_sulfoxide,NCT04880161
dinoprostone,NCT04880161
docetaxel,NCT04880161
dofetilide,NCT04880161
eptifibatide,NCT04880161
ertapenem,NCT04880161
estradiol,NCT04880161
ethinamate,NCT04880161
etoposide,NCT04880161
etoricoxib,NCT04880161
exemestane,NCT04880161
ezetimibe,NCT04880161
felbamate,NCT04880161
felbinac,NCT04880161
fenofibrate,NCT04880161
flavin_mononucleotid,NCT04880161
flumazenil,NCT04880161
flunisolide,NCT04880161
fluorouracil,NCT04880161
flutamide,NCT04880161
fluvastatin,NCT04880161
fulvestrant,NCT04880161
gabapentin,NCT04880161
gemcitabine,NCT04880161
gliquidone,NCT04880161
glycine,NCT04880161
goserelin,NCT04880161
guanethidine,NCT04880161
guanfacine,NCT04880161
guanosine_5__diphosp,NCT04880161
hydroxyurea,NCT04880161
ibutilide,NCT04880161
ifosfamide,NCT04880161
iloprost,NCT04880161
indigotindisulfonic_,NCT04880161
indocyanine_green_ac,NCT04880161
indomethacin,NCT04880161
isocarboxazid,NCT04880161
isoconazole,NCT04880161
isosorbide_mononitra,NCT04880161
isotretinoin,NCT04880161
ivabradine,NCT04880161
ketanserin,NCT04880161
ketoprofen,NCT04880161
latanoprost,NCT04880161
letrozole,NCT04880161
leuprolide,NCT04880161
levobupivacaine,NCT04880161
lormetazepam,NCT04880161
lornoxicam,NCT04880161
loteprednol_etabonat,NCT04880161
lovastatin,NCT04880161
lurasidone,NCT04880161
maraviroc,NCT04880161
meloxicam,NCT04880161
melphalan,NCT04880161
menadione,NCT04880161
metformin,NCT04880161
methyldopa,NCT04880161
meticillin,NCT04880161
metyrosine,NCT04880161
micafungin,NCT04880161
milrinone,NCT04880161
minaprine,NCT04880161
minoxidil,NCT04880161
mitomycin,NCT04880161
mitoxantrone,NCT04880161
modafinil,NCT04880161
moricizine,NCT04880161
nalidixic_acid,NCT04880161
nelfinavir,NCT04880161
niacin,NCT04880161
nialamide,NCT04880161
nimesulide,NCT04880161
norgestrel,NCT04880161
orciprenaline,NCT04880161
oseltamivir,NCT04880161
oxaliplatin,NCT04880161
oxamniquine,NCT04880161
oxcarbazepine,NCT04880161
oxitropium,NCT04880161
oxytocin,NCT04880161
paromomycin,NCT04880161
pemirolast,NCT04880161
pentagastrin,NCT04880161
pentobarbital,NCT04880161
phenindamine,NCT04880161
phenindione,NCT04880161
phenmetrazine,NCT04880161
