drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_delta_ae_worse,flag_delta_safety_worse,flag_delta_efficacy_worse,n_delta_flags
regorafenib,Regorafenib,5.148507979232816,14.243463009595867,5.148507979232816,100.0,0.544711,0.516843,0.544711,0.516843,5.148507979232816,0.7696473192574081,0.1824868651488661,0.0153802944057526,0.3839297326436603,0.544711,0.516843,14.243463009595867,unweighted_total_prob,0.3839297326436603,4.0,1620.0,32.0,1039.0,-0.0038768590000000103,-0.0018968489999999782,8.622245847595867,True,False,True,2
tepotinib,Tepotinib,4.080383996944873,11.494977917522188,4.080383996944873,100.0,0.407552,0.5182,0.407552,0.5182,4.080383996944873,0.5396266917104093,0.2617046117921786,0.0419421397837931,0.3289209493577938,0.407552,0.5182,11.494977917522188,unweighted_total_prob,0.3289209493577938,17.0,1524.0,121.0,440.0,-0.14103585899999993,-0.0005398490000000367,5.873760755522188,True,False,True,2
ponatinib,Ponatinib,4.159961413079871,11.09475307539105,4.159961413079871,100.0,0.409257,0.517003,0.409257,0.517003,4.159961413079871,0.5424860386724579,0.1918272037361363,0.0394929722179542,0.3016238914070286,0.409257,0.517003,11.09475307539105,unweighted_total_prob,0.3016238914070286,23.0,1527.0,38.0,222.0,-0.13933085899999997,-0.0017368490000000403,5.47353591339105,True,False,True,2
binimetinib,Binimetinib,3.994088096916674,10.366039190441366,3.994088096916674,100.0,0.38951,0.517743,0.38951,0.517743,3.994088096916674,0.5093696020392762,0.2350262697022755,0.0447083838218259,0.3067000254609858,0.38951,0.517743,10.366039190441366,unweighted_total_prob,0.3067000254609858,29.0,1487.0,74.0,255.0,-0.15907785899999993,-0.0009968490000000774,4.744822028441366,True,False,True,2
encorafenib,Encorafenib,3.827614814229308,9.941807556897398,3.827614814229308,100.0,0.449799,0.516727,0.449799,0.516727,3.827614814229308,0.6104764460245854,0.1757151196730923,0.0503971447213156,0.3245560552233342,0.449799,0.516727,9.941807556897398,unweighted_total_prob,0.3245560552233342,33.0,1588.0,29.0,393.0,-0.09878885899999995,-0.0020128489999999832,4.320590394897398,True,False,True,2
capmatinib,Capmatinib,3.589114221185444,9.455109346657988,3.589114221185444,100.0,0.353378,0.516666,0.353378,0.516666,3.589114221185444,0.4487749249526238,0.172154115586689,0.0594668455241596,0.2602649853205571,0.353378,0.516666,9.455109346657988,unweighted_total_prob,0.2602649853205571,40.0,1358.0,25.0,66.0,-0.19520985899999993,-0.002073849000000072,3.833892184657987,True,False,True,2
ivacaftor,Ivacaftor,3.493667350150643,9.247925058007237,3.493667350150643,100.0,0.246464,0.5183,0.246464,0.5183,3.493667350150643,0.2694762615505878,0.2675423234092241,0.0634434451616683,0.2274961230162584,0.246464,0.5183,9.247925058007237,unweighted_total_prob,0.2274961230162584,43.0,497.0,132.0,19.0,-0.30212385899999994,-0.0004398490000000477,3.626707896007236,True,False,True,2
sonidegib,Sonidegib,3.4564456420019254,8.906889945268627,3.4564456420019254,100.0,0.390716,0.517377,0.390716,0.517377,3.4564456420019254,0.5113921078669775,0.213660245183888,0.0650537348826758,0.3030316881968813,0.390716,0.517377,8.906889945268627,unweighted_total_prob,0.3030316881968813,53.0,1489.0,58.0,232.0,-0.15787185899999995,-0.0013628490000000548,3.2856727832686268,True,False,True,2
tofacitinib,Tofacitinib,3.3065205053426308,8.678564533591267,3.3065205053426308,100.0,0.24992,0.518208,0.24992,0.518208,3.3065205053426308,0.2752720991463885,0.2621716287215428,0.0719069206683013,0.2293588752808327,0.24992,0.518208,8.678564533591267,unweighted_total_prob,0.2293588752808327,61.0,530.0,122.0,21.0,-0.2986678589999999,-0.0005318490000000287,3.0573473715912662,True,False,True,2
copanlisib,Copanlisib,3.3202329940628243,8.518390282988545,3.3202329940628243,100.0,0.403847,0.515935,0.403847,0.515935,3.3202329940628243,0.5334132720656057,0.1294804436660861,0.0712543981467912,0.279408365922035,0.403847,0.515935,8.518390282988545,unweighted_total_prob,0.279408365922035,68.0,1518.0,12.0,115.0,-0.14474085899999994,-0.002804848999999998,2.897173120988544,True,False,True,2
